date,all_eligible,oversold_all,top10_oversold,held_conflicts,pending_conflicts,available_slots,queueable_candidates,queued,executed_next,executed_ever,year,taxonomy,ranking_actionable
2020-03-31,3565,105,0,0,0,0,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-04-01,3567,68,0,0,0,0,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-04-02,3568,3,0,0,0,0,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-04-03,3568,3,0,0,0,0,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-04-07,3564,3,0,0,0,0,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-04-08,3568,1,0,0,0,0,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-04-09,3567,1,0,0,0,0,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-04-10,3567,8,0,0,0,0,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-04-13,3568,83,0,0,0,0,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-04-14,3570,12,0,0,0,0,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-04-15,3567,20,0,0,0,1,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-04-16,3573,25,0,0,0,1,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-04-17,3575,16,0,0,0,2,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-04-20,3576,19,0,0,0,2,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-04-21,3575,85,0,0,0,2,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-04-22,3575,32,0,0,0,2,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-04-23,3576,66,0,0,0,2,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-04-24,3575,301,0,0,0,2,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-04-27,3574,414,0,0,0,2,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-04-28,3564,989,1,1,0,2,0,0,0,0,2020,HELD_CONFLICT_ONLY,False
2020-04-29,3549,717,0,0,0,2,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-04-30,3524,70,0,0,0,2,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-05-06,3520,24,0,0,0,2,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-05-07,3524,26,0,0,0,2,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-05-08,3528,7,0,0,0,2,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-05-11,3528,10,1,0,0,3,1,1,1,1,2020,NO_CONTENTION,False
2020-05-12,3531,23,0,0,0,2,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-05-13,3534,8,0,0,0,2,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-05-14,3536,36,0,0,0,2,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-05-15,3537,25,0,0,0,2,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-05-18,3535,41,0,0,0,2,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-05-19,3533,18,0,0,0,2,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-05-20,3535,34,0,0,0,2,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-05-21,3537,103,0,0,0,2,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-05-22,3540,302,0,0,0,2,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-05-25,3539,284,2,0,0,2,2,2,2,2,2020,NO_CONTENTION,False
2020-05-26,3540,18,0,0,0,0,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-05-27,3536,49,0,0,0,0,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-05-28,3539,61,0,0,0,0,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-05-29,3539,46,0,0,0,0,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-06-01,3535,6,0,0,0,0,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-06-02,3536,6,0,0,0,0,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-06-03,3538,2,0,0,0,0,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-06-04,3540,3,0,0,0,0,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-06-05,3539,2,0,0,0,0,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-06-08,3546,9,0,0,0,0,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-06-09,3546,6,0,0,0,0,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-06-10,3546,7,0,0,0,0,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-06-11,3547,20,0,0,0,0,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-06-12,3545,40,0,0,0,0,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-06-15,3547,78,1,0,0,0,1,0,0,0,2020,FULL_BLOCK,False
2020-06-16,3549,13,0,0,0,0,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-06-17,3549,10,0,0,0,0,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-06-18,3550,5,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-06-19,3550,3,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-06-22,3548,12,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-06-23,3546,39,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-06-24,3543,82,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-06-29,3543,292,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-06-30,3538,43,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-07-01,3539,27,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-07-02,3539,2,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-07-03,3539,2,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-07-06,3540,1,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-07-07,3539,2,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-07-08,3542,2,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-07-09,3544,1,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-07-10,3545,1,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-07-13,3544,0,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-07-14,3547,0,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-07-15,3547,1,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-07-16,3549,39,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-07-17,3551,44,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-07-20,3549,9,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-07-21,3555,2,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-07-22,3556,1,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-07-23,3558,5,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-07-24,3559,112,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-07-27,3559,87,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-07-28,3559,9,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-07-29,3564,1,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-07-30,3565,3,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-07-31,3566,2,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-08-03,3569,0,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-08-04,3570,2,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-08-05,3571,1,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-08-06,3572,1,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-08-07,3570,11,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-08-10,3574,8,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-08-11,3571,29,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-08-12,3574,125,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-08-13,3576,48,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-08-14,3578,5,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-08-17,3577,2,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-08-18,3577,2,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-08-19,3578,18,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-08-20,3579,35,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-08-21,3578,28,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-08-24,3579,17,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-08-25,3578,31,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-08-26,3579,278,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-08-27,3581,81,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-08-28,3581,28,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-08-31,3582,33,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-09-01,3582,42,1,0,0,3,1,1,1,1,2020,NO_CONTENTION,False
2020-09-02,3585,46,1,1,0,2,0,0,0,0,2020,HELD_CONFLICT_ONLY,False
2020-09-03,3586,92,0,0,0,2,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-09-04,3585,76,0,0,0,2,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-09-07,3585,326,1,0,0,2,1,1,1,1,2020,NO_CONTENTION,False
2020-09-08,3588,170,1,0,0,1,1,1,1,1,2020,NO_CONTENTION,False
2020-09-09,3582,641,1,0,0,0,1,0,0,0,2020,FULL_BLOCK,False
2020-09-10,3586,1146,2,0,0,0,2,0,0,0,2020,FULL_BLOCK,False
2020-09-11,3586,333,0,0,0,0,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-09-14,3584,57,0,0,0,0,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-09-15,3588,49,0,0,0,0,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-09-16,3590,80,1,0,0,0,1,0,0,0,2020,FULL_BLOCK,False
2020-09-17,3593,43,1,0,0,0,1,0,0,0,2020,FULL_BLOCK,False
2020-09-18,3597,8,0,0,0,0,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-09-21,3596,10,0,0,0,0,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-09-22,3601,62,0,0,0,0,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-09-23,3600,32,0,0,0,0,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-09-24,3602,411,0,0,0,0,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-09-25,3606,354,0,0,0,0,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-09-28,3600,487,1,0,0,0,1,0,0,0,2020,FULL_BLOCK,False
2020-09-29,3604,138,0,0,0,0,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-09-30,3606,143,1,0,0,0,1,0,0,0,2020,FULL_BLOCK,False
2020-10-09,3611,13,0,0,0,0,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-10-12,3612,3,1,0,0,1,1,1,1,1,2020,NO_CONTENTION,False
2020-10-13,3617,6,0,0,0,0,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-10-14,3617,18,0,0,0,0,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-10-15,3619,33,0,0,0,0,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-10-16,3621,49,0,0,0,0,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-10-19,3625,62,0,0,0,0,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-10-20,3628,21,0,0,0,0,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-10-21,3628,69,0,0,0,0,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-10-22,3638,85,0,0,0,0,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-10-23,3640,222,1,0,0,0,1,0,0,0,2020,FULL_BLOCK,False
2020-10-26,3639,219,1,0,0,0,1,0,0,0,2020,FULL_BLOCK,False
2020-10-27,3641,173,0,0,0,0,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-10-28,3642,187,0,0,0,1,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-10-29,3644,243,0,0,0,1,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-10-30,3647,948,0,0,0,1,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-11-02,3651,936,0,0,0,1,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-11-03,3651,85,0,0,0,1,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-11-04,3652,84,0,0,0,1,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-11-05,3654,13,0,0,0,1,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-11-06,3656,55,0,0,0,1,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-11-09,3664,5,0,0,0,2,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-11-10,3666,21,0,0,0,2,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-11-11,3668,85,1,0,0,2,1,1,1,1,2020,NO_CONTENTION,False
2020-11-12,3672,69,0,0,0,1,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-11-13,3670,45,1,0,0,1,1,1,1,1,2020,NO_CONTENTION,False
2020-11-16,3670,46,2,0,0,0,2,0,0,0,2020,FULL_BLOCK,False
2020-11-17,3676,122,2,1,0,0,1,0,0,0,2020,FULL_BLOCK,False
2020-11-18,3681,74,1,1,0,0,0,0,0,0,2020,HELD_CONFLICT_ONLY,False
2020-11-19,3682,29,0,0,0,0,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-11-20,3684,16,0,0,0,0,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-11-23,3686,21,0,0,0,0,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-11-24,3702,34,0,0,0,0,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-11-25,3704,138,0,0,0,0,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-11-26,3708,178,0,0,0,0,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-11-27,3707,147,0,0,0,0,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-11-30,3710,150,0,0,0,0,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-12-01,3712,19,0,0,0,0,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-12-02,3712,26,0,0,0,0,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-12-03,3716,39,0,0,0,0,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-12-04,3720,28,0,0,0,0,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-12-07,3718,114,0,0,0,1,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-12-08,3722,167,0,0,0,1,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-12-09,3724,758,1,0,0,2,1,1,1,1,2020,NO_CONTENTION,False
2020-12-10,3725,611,0,0,0,1,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-12-11,3729,1235,0,0,0,1,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-12-14,3733,595,1,0,0,1,1,1,1,1,2020,NO_CONTENTION,False
2020-12-15,3733,359,1,1,0,0,0,0,0,0,2020,HELD_CONFLICT_ONLY,False
2020-12-16,3736,640,1,0,0,0,1,0,0,0,2020,FULL_BLOCK,False
2020-12-17,3741,188,0,0,0,0,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-12-18,3745,250,0,0,0,0,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-12-21,3747,93,0,0,0,1,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-12-22,3749,371,0,0,0,1,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-12-23,3754,267,0,0,0,2,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-12-24,3755,777,0,0,0,2,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-12-25,3758,261,0,0,0,2,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-12-28,3762,446,0,0,0,2,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-12-29,3773,206,0,0,0,2,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-12-30,3774,94,0,0,0,2,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-12-31,3777,24,0,0,0,2,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2021-01-04,3780,25,0,0,0,2,0,0,0,0,2021,NO_OVERSOLD_IN_TOP10,False
2021-01-05,3782,67,0,0,0,3,0,0,0,0,2021,NO_OVERSOLD_IN_TOP10,False
2021-01-06,3782,128,0,0,0,3,0,0,0,0,2021,NO_OVERSOLD_IN_TOP10,False
2021-01-07,3784,748,0,0,0,3,0,0,0,0,2021,NO_OVERSOLD_IN_TOP10,False
2021-01-08,3787,394,0,0,0,3,0,0,0,0,2021,NO_OVERSOLD_IN_TOP10,False
2021-01-11,3785,949,0,0,0,3,0,0,0,0,2021,NO_OVERSOLD_IN_TOP10,False
2021-01-12,3787,388,0,0,0,3,0,0,0,0,2021,NO_OVERSOLD_IN_TOP10,False
2021-01-13,3789,767,0,0,0,3,0,0,0,0,2021,NO_OVERSOLD_IN_TOP10,False
2021-01-14,3789,232,0,0,0,3,0,0,0,0,2021,NO_OVERSOLD_IN_TOP10,False
2021-01-15,3788,26,0,0,0,3,0,0,0,0,2021,NO_OVERSOLD_IN_TOP10,False
2021-01-18,3790,6,0,0,0,3,0,0,0,0,2021,NO_OVERSOLD_IN_TOP10,False
2021-01-19,3794,11,0,0,0,3,0,0,0,0,2021,NO_OVERSOLD_IN_TOP10,False
2021-01-20,3793,13,0,0,0,3,0,0,0,0,2021,NO_OVERSOLD_IN_TOP10,False
2021-01-21,3795,11,0,0,0,3,0,0,0,0,2021,NO_OVERSOLD_IN_TOP10,False
2021-01-22,3801,54,0,0,0,3,0,0,0,0,2021,NO_OVERSOLD_IN_TOP10,False
2021-01-25,3801,209,0,0,0,3,0,0,0,0,2021,NO_OVERSOLD_IN_TOP10,False
2021-01-26,3802,252,0,0,0,3,0,0,0,0,2021,NO_OVERSOLD_IN_TOP10,False
2021-01-27,3802,164,0,0,0,3,0,0,0,0,2021,NO_OVERSOLD_IN_TOP10,False
2021-01-28,3805,242,2,0,0,3,2,2,2,2,2021,NO_CONTENTION,False
2021-01-29,3809,460,3,1,0,1,2,1,1,1,2021,SOFT_CONTENTION,True
2021-02-01,3812,306,1,1,0,0,0,0,0,0,2021,HELD_CONFLICT_ONLY,False
2021-02-02,3812,232,1,1,0,0,0,0,0,0,2021,HELD_CONFLICT_ONLY,False
2021-02-03,3813,560,2,1,0,0,1,0,0,0,2021,FULL_BLOCK,False
2021-02-04,3814,984,0,0,0,0,0,0,0,0,2021,NO_OVERSOLD_IN_TOP10,False
2021-02-05,3814,773,0,0,0,0,0,0,0,0,2021,NO_OVERSOLD_IN_TOP10,False
2021-02-08,3813,373,0,0,0,0,0,0,0,0,2021,NO_OVERSOLD_IN_TOP10,False
2021-02-09,3814,33,0,0,0,0,0,0,0,0,2021,NO_OVERSOLD_IN_TOP10,False
2021-02-10,3818,23,0,0,0,0,0,0,0,0,2021,NO_OVERSOLD_IN_TOP10,False
