feature_name,formula,family,lookback,source,source_date_rule,PIT_status,missing_policy,dtype,cs_rank_version
distance_52w_high,close_adj_T/max(close_adj_{{T-250..T}}) - 1,PRICE,250,daily+adj_factor,<= T (max lag 250),PIT_OK,NAN,float64,no
atr14_pct,ATR14/close_adj_T,VOLATILITY,14,daily+adj_factor,<= T (max lag 14),PIT_OK,NAN,float64,no
vol_5,std(ret_1 over 5d),VOLATILITY,5,daily+adj_factor,<= T (max lag 5),PIT_OK,NAN,float64,no
vol_10,std(ret_1 over 10d),VOLATILITY,10,daily+adj_factor,<= T (max lag 10),PIT_OK,NAN,float64,no
vol_20,std(ret_1 over 20d),VOLATILITY,20,daily+adj_factor,<= T (max lag 20),PIT_OK,NAN,float64,no
vol_60,std(ret_1 over 60d),VOLATILITY,60,daily+adj_factor,<= T (max lag 60),PIT_OK,NAN,float64,no
range_pct,(high-low)/pre_close,VOLATILITY,1,daily,<= T (max lag 1),PIT_OK,NAN,float64,no
gap_pct,open/pre_close - 1,VOLATILITY,1,daily,<= T (max lag 1),PIT_OK,NAN,float64,no
log_amount,log(amount+1),LIQUIDITY,1,daily,<= T (max lag 1),PIT_OK,NAN,float64,no
amount_rank,daily cross-section rank of amount / N,LIQUIDITY,1,daily,<= T (max lag 1),PIT_OK,NAN,float64,no
amount_percentile,daily cross-section pct of amount,LIQUIDITY,1,daily,<= T (max lag 1),PIT_OK,NAN,float64,no
amount_ratio_5_20,"mean(amount,T-5..T-1)/mean(amount,T-20..T-1)",LIQUIDITY,20,daily,<= T (max lag 20),PIT_OK,NAN,float64,no
amount_ratio_20_60,"mean(amount,T-20..T-1)/mean(amount,T-60..T-1)",LIQUIDITY,60,daily,<= T (max lag 60),PIT_OK,NAN,float64,no
amount_ma5_pct,"amount/mean(amount,T-5..T-1) - 1",LIQUIDITY,5,daily,<= T (max lag 5),PIT_OK,NAN,float64,no
amount_ma20_pct,"amount/mean(amount,T-20..T-1) - 1",LIQUIDITY,20,daily,<= T (max lag 20),PIT_OK,NAN,float64,no
distance_ma5,"close_adj_T/ma(close_adj,5) - 1",TREND,5,daily+adj_factor,<= T (max lag 5),PIT_OK,NAN,float64,no
distance_ma10,"close_adj_T/ma(close_adj,10) - 1",TREND,10,daily+adj_factor,<= T (max lag 10),PIT_OK,NAN,float64,no
distance_ma20,"close_adj_T/ma(close_adj,20) - 1",TREND,20,daily+adj_factor,<= T (max lag 20),PIT_OK,NAN,float64,no
distance_ma60,"close_adj_T/ma(close_adj,60) - 1",TREND,60,daily+adj_factor,<= T (max lag 60),PIT_OK,NAN,float64,no
distance_ma120,"close_adj_T/ma(close_adj,120) - 1",TREND,120,daily+adj_factor,<= T (max lag 120),PIT_OK,NAN,float64,no
distance_ma250,"close_adj_T/ma(close_adj,250) - 1",TREND,250,daily+adj_factor,<= T (max lag 250),PIT_OK,NAN,float64,no
ma5_slope_pct,ma(5)_T/ma(5)_{-5} - 1,TREND,5,daily+adj_factor,<= T (max lag 10),PIT_OK,NAN,float64,no
ma20_slope_pct,ma(20)_T/ma(20)_{-5} - 1,TREND,20,daily+adj_factor,<= T (max lag 25),PIT_OK,NAN,float64,no
ma60_slope_pct,ma(60)_T/ma(60)_{-5} - 1,TREND,60,daily+adj_factor,<= T (max lag 65),PIT_OK,NAN,float64,no
bb_z,(close_adj - bb_mid)/bb_std,BB,20,daily+adj_factor,<= T (max lag 20),PIT_OK,NAN,float64,no
bb_width,bb_std/bb_mid,BB,20,daily+adj_factor,<= T (max lag 20),PIT_OK,NAN,float64,no
percent_b,(close_adj - bb_lower)/(bb_upper - bb_lower),BB,20,daily+adj_factor,<= T (max lag 20),PIT_OK,NAN,float64,no
bb_width_cs_rank,daily cross-section rank of bb_width,BB,20,daily+adj_factor,<= T (max lag 20),PIT_OK,NAN,float64,yes
ret_5_cs_rank,daily cross-section rank of ret_5,CROSS_SECTIONAL,5,daily+adj_factor,<= T (max lag 5),PIT_OK,NAN,float64,yes
ret_20_cs_rank,daily cross-section rank of ret_20,CROSS_SECTIONAL,20,daily+adj_factor,<= T (max lag 20),PIT_OK,NAN,float64,yes
atr14_pct_cs_rank,daily cross-section rank of atr14_pct,CROSS_SECTIONAL,20,daily,<= T (max lag 20),PIT_OK,NAN,float64,yes
amount_cs_rank,daily cross-section rank of log_amount,CROSS_SECTIONAL,20,daily,<= T (max lag 20),PIT_OK,NAN,float64,yes
bb_z_cs_rank,daily cross-section rank of bb_z,CROSS_SECTIONAL,20,daily,<= T (max lag 20),PIT_OK,NAN,float64,yes
drawdown_20_cs_rank,daily cross-section rank of drawdown_20,CROSS_SECTIONAL,20,daily,<= T (max lag 20),PIT_OK,NAN,float64,yes
range_pct_cs_rank,daily cross-section rank of range_pct,CROSS_SECTIONAL,20,daily,<= T (max lag 20),PIT_OK,NAN,float64,yes
vol_20_cs_rank,daily cross-section rank of vol_20,CROSS_SECTIONAL,20,daily,<= T (max lag 20),PIT_OK,NAN,float64,yes
csi300_ret_1,csi300 close_adj ret over 1d (index series),MARKET_CONTEXT,1,idx_000300/000905/000852,<= T (max lag 1),PIT_OK,NAN,float64,no
csi300_ret_5,csi300 close_adj ret over 5d (index series),MARKET_CONTEXT,5,idx_000300/000905/000852,<= T (max lag 5),PIT_OK,NAN,float64,no
csi300_ret_20,csi300 close_adj ret over 20d (index series),MARKET_CONTEXT,20,idx_000300/000905/000852,<= T (max lag 20),PIT_OK,NAN,float64,no
csi300_ret_60,csi300 close_adj ret over 60d (index series),MARKET_CONTEXT,60,idx_000300/000905/000852,<= T (max lag 60),PIT_OK,NAN,float64,no
csi500_ret_5,csi500 close_adj ret over 5d (index series),MARKET_CONTEXT,5,idx_000300/000905/000852,<= T (max lag 5),PIT_OK,NAN,float64,no
csi500_ret_20,csi500 close_adj ret over 20d (index series),MARKET_CONTEXT,20,idx_000300/000905/000852,<= T (max lag 20),PIT_OK,NAN,float64,no
csi1000_ret_5,csi1000 close_adj ret over 5d (index series),MARKET_CONTEXT,5,idx_000300/000905/000852,<= T (max lag 5),PIT_OK,NAN,float64,no
csi1000_ret_20,csi1000 close_adj ret over 20d (index series),MARKET_CONTEXT,20,idx_000300/000905/000852,<= T (max lag 20),PIT_OK,NAN,float64,no
market_up_ratio,share of universe stocks with ret_1>0,MARKET_CONTEXT,1,daily,<= T (max lag 1),PIT_OK,NAN,float64,no
market_down_ratio,share of universe stocks with ret_1<0,MARKET_CONTEXT,1,daily,<= T (max lag 1),PIT_OK,NAN,float64,no
new_high_ratio,share of universe stocks at 52w high,MARKET_CONTEXT,250,daily,<= T (max lag 250),PIT_OK,NAN,float64,no
new_low_ratio,share of universe stocks at 52w low,MARKET_CONTEXT,250,daily,<= T (max lag 250),PIT_OK,NAN,float64,no
limit_up_count,count of limit-up stocks that day,MARKET_CONTEXT,1,daily,<= T (max lag 1),PIT_OK,NAN,float64,no
limit_down_count,count of limit-down stocks that day,MARKET_CONTEXT,1,daily,<= T (max lag 1),PIT_OK,NAN,float64,no
market_vol_20,std of cross-section mean(ret_1) over 20d,MARKET_CONTEXT,20,daily,<= T (max lag 20),PIT_OK,NAN,float64,no
bb_signal_breadth,share of universe stocks with close_adj < bb_lower,MARKET_CONTEXT,20,daily+adj_factor,<= T (max lag 20),PIT_OK,NAN,float64,no
industry_ret_5,equal-weight mean ret_5 of same SW L1 industry members,INDUSTRY_RELATIVE,5,sector_membership+daily,<= T (max lag 5),PIT_OK,NAN,float64,no
ret_5_minus_industry,ret_5 - industry_ret_5,INDUSTRY_RELATIVE,5,sector_membership+daily,<= T (max lag 5),PIT_OK,NAN,float64,no
industry_ret_20,equal-weight mean ret_20 of same SW L1 industry members,INDUSTRY_RELATIVE,20,sector_membership+daily,<= T (max lag 20),PIT_OK,NAN,float64,no
ret_20_minus_industry,ret_20 - industry_ret_20,INDUSTRY_RELATIVE,20,sector_membership+daily,<= T (max lag 20),PIT_OK,NAN,float64,no
industry_ret_60,equal-weight mean ret_60 of same SW L1 industry members,INDUSTRY_RELATIVE,60,sector_membership+daily,<= T (max lag 60),PIT_OK,NAN,float64,no
ret_60_minus_industry,ret_60 - industry_ret_60,INDUSTRY_RELATIVE,60,sector_membership+daily,<= T (max lag 60),PIT_OK,NAN,float64,no
industry_breadth,share of industry members with ret_1>0,INDUSTRY_RELATIVE,1,sector_membership+daily,<= T (max lag 1),PIT_OK,NAN,float64,no
is_st_pit,is_st_pit (PIT state flag),STATE,1,namechange/daily/limit calc,<= T (max lag 1),PIT_OK,NAN,float64,no
is_suspended,is_suspended (PIT state flag),STATE,1,namechange/daily/limit calc,<= T (max lag 1),PIT_OK,NAN,float64,no
is_limit_up,is_limit_up (PIT state flag),STATE,1,namechange/daily/limit calc,<= T (max lag 1),PIT_OK,NAN,float64,no
is_limit_down,is_limit_down (PIT state flag),STATE,1,namechange/daily/limit calc,<= T (max lag 1),PIT_OK,NAN,float64,no
listing_days,trading days since list_date,STATE,60,trade_cal+stock_basic,<= T (max lag 0),PIT_OK,NAN,float64,no
log_market_cap,N/A,SIZE/TURNOVER,0,daily_basic,N/A,PIT_UNAVAILABLE,EXCLUDED,float64,no
market_cap_percentile,N/A,SIZE/TURNOVER,0,daily_basic,N/A,PIT_UNAVAILABLE,EXCLUDED,float64,no
size_bucket,N/A,SIZE/TURNOVER,0,daily_basic,N/A,PIT_UNAVAILABLE,EXCLUDED,float64,no
turnover,N/A,SIZE/TURNOVER,0,daily_basic,N/A,PIT_UNAVAILABLE,EXCLUDED,float64,no
turnover_rank,N/A,SIZE/TURNOVER,0,daily_basic,N/A,PIT_UNAVAILABLE,EXCLUDED,float64,no
