path,file_type,phase,category,status,canonical,superseded_by,evidence_level,recommended_destination,notes
research/ranking/registries/CROSS_SECTIONAL_RANKING_VALIDATION_REGISTRY.sha256,file,p2val,registry,ACCEPTED,FALSE,,primary,research/ranking/registries/CROSS_SECTIONAL_RANKING_VALIDATION_REGISTRY.sha256,P2 registry hash
research/trade_path/FULL_MARKET_TRADE_PATH_AUDIT.md,file,fullmarket,report,ACCEPTED,TRUE,,primary,research/trade_path/FULL_MARKET_TRADE_PATH_AUDIT.md,CANONICAL full-market trade-path audit
archive/superseded/HYPOTHESIS_REGISTRY.csv,file,redteam,registry,CLOSED,FALSE,,primary,archive/superseded/HYPOTHESIS_REGISTRY.csv,"old 104-cell regime registry; frozen, not modified"
archive/superseded/HYPOTHESIS_REGISTRY_TEMPLATE.csv,file,redteam,registry,SUPERSEDED,FALSE,,secondary,archive/superseded/HYPOTHESIS_REGISTRY_TEMPLATE.csv,registry template
archive/superseded/INDEPENDENT_TRADE_REPLAY.md,file,independent,report,SUPERSEDED,FALSE,INDEPENDENT_TRADE_REPLAY_V2_AUDIT.md,primary,archive/superseded/INDEPENDENT_TRADE_REPLAY.md,replay V1
research/signal/INDEPENDENT_TRADE_REPLAY_V2_AUDIT.md,file,independent,report,ACCEPTED,TRUE,,primary,research/signal/INDEPENDENT_TRADE_REPLAY_V2_AUDIT.md,CANONICAL independent replay V2 audit
data_docs/KLINE_DATA.md,file,governance,doc,INFRASTRUCTURE,FALSE,,infra,data_docs/KLINE_DATA.md,kline data format / provenance
research/market_state/registries/MARKET_STATE_GATE_REGISTRY.csv,file,gateT3,registry,ACCEPTED,FALSE,,primary,research/market_state/registries/MARKET_STATE_GATE_REGISTRY.csv,T3 gate registry
research/market_state/registries/MARKET_STATE_GATE_REGISTRY.sha256,file,gateT3,registry,ACCEPTED,FALSE,,primary,research/market_state/registries/MARKET_STATE_GATE_REGISTRY.sha256,T3 registry hash
research/market_state/MARKET_STATE_GATE_T3.md,file,gateT3,report,CLOSED,TRUE,,primary,research/market_state/MARKET_STATE_GATE_T3.md,CANONICAL T3; C NO USEFUL PORTFOLIO GATE (closed)
research/market_state/MARKET_STATE_PHASE_T2.md,file,marketstate,report,ACCEPTED,TRUE,,primary,research/market_state/MARKET_STATE_PHASE_T2.md,CANONICAL T2 discovery (reverse-direction)
research/market_state/MARKET_STATE_REVERSE_VALIDATION.md,file,marketstate,report,ACCEPTED,TRUE,,primary,research/market_state/MARKET_STATE_REVERSE_VALIDATION.md,CANONICAL T2-R; A STRONG VALIDATION
research/ranking/P1_RELATIVE_RETURN_INVARIANCE_NOTE.md,file,ranking,report,ACCEPTED,FALSE,,secondary,research/ranking/P1_RELATIVE_RETURN_INVARIANCE_NOTE.md,REL_RET rank-invariance method note
research/portfolio/P3_FUTURE_CONFIRMATION_RULE.md,file,p3,report,ACCEPTED,FALSE,,secondary,research/portfolio/P3_FUTURE_CONFIRMATION_RULE.md,pre-frozen 2025-26 confirmation rule
research/portfolio/P3_MECHANISM_CORRECTION_NOTE.md,file,p31,report,ACCEPTED,FALSE,,secondary,research/portfolio/P3_MECHANISM_CORRECTION_NOTE.md,P3 doc label-error correction note
archive/superseded/PATH_DEPENDENCE_ATTRIBUTION.md,file,gateT3,report,SUPERSEDED,FALSE,MARKET_STATE_GATE_T3.md,secondary,archive/superseded/PATH_DEPENDENCE_ATTRIBUTION.md,early T3 path attribution; superseded by gate T3 report
research/market_state/R01_DISCOVERY_CUTPOINTS.json,file,gateT3,config,ACCEPTED,FALSE,,primary,research/market_state/R01_DISCOVERY_CUTPOINTS.json,frozen R01 (ALL_A_EW_RET60) Discovery quintile cutpoints
research/market_state/R05_DISCOVERY_CUTPOINTS.json,file,gateT3,config,ACCEPTED,FALSE,,primary,research/market_state/R05_DISCOVERY_CUTPOINTS.json,frozen R05 (LIMIT_DOWN_SHARE) Discovery cutpoints
README.md,file,governance,doc,ACTIVE,FALSE,,infra,README.md,"entry point (CURRENT TRUTH, rewritten in R0-C)"
archive/superseded/REDTEAM_AUDIT_REPLY.md,file,redteam,report,SUPERSEDED,FALSE,,secondary,archive/superseded/REDTEAM_AUDIT_REPLY.md,early reply doc
archive/superseded/REDTEAM_ROUND2_EXPERIMENTS.md,file,redteam,report,SUPERSEDED,FALSE,,secondary,archive/superseded/REDTEAM_ROUND2_EXPERIMENTS.md,early redteam round
archive/superseded/REDTEAM_ROUND3_ALPHA.md,file,redteam,report,SUPERSEDED,FALSE,,secondary,archive/superseded/REDTEAM_ROUND3_ALPHA.md,early redteam round
archive/superseded/REDTEAM_ROUND4_READINESS.md,file,redteam,report,SUPERSEDED,FALSE,,secondary,archive/superseded/REDTEAM_ROUND4_READINESS.md,early redteam round
research/signal/REDTEAM_ROUND51_STRICT.md,file,strict_c,report,ACCEPTED,TRUE,,primary,research/signal/REDTEAM_ROUND51_STRICT.md,CANONICAL STRICT_C frozen-engine report
archive/superseded/REDTEAM_ROUND5_STRICT.md,file,redteam,report,SUPERSEDED,FALSE,REDTEAM_ROUND51_STRICT.md,secondary,archive/superseded/REDTEAM_ROUND5_STRICT.md,superseded by round51
archive/superseded/REDTEAM_STRICT_C.md,file,strict_c,report,SUPERSEDED,FALSE,REDTEAM_STRICT_C_CORRECTED.md,primary,archive/superseded/REDTEAM_STRICT_C.md,superseded by corrected
research/signal/REDTEAM_STRICT_C_CORRECTED.md,file,strict_c,report,ACCEPTED,FALSE,,primary,research/signal/REDTEAM_STRICT_C_CORRECTED.md,STRICT_C semantics audit (corrected)
archive/superseded/REGIME_DISCOVERY_PHASE1.md,file,redteam,report,SUPERSEDED,FALSE,REGIME_DISCOVERY_PHASE1_CORRECTED.md,secondary,archive/superseded/REGIME_DISCOVERY_PHASE1.md,old regime discovery v1
archive/superseded/REGIME_DISCOVERY_PHASE1_CORRECTED.md,file,redteam,report,SUPERSEDED,FALSE,REGIME_DISCOVERY_PHASE1_V3.md,secondary,archive/superseded/REGIME_DISCOVERY_PHASE1_CORRECTED.md,old regime discovery v2
archive/superseded/REGIME_DISCOVERY_PHASE1_V3.md,file,redteam,report,SUPERSEDED,FALSE,MARKET_STATE_PHASE_T2.md,secondary,archive/superseded/REGIME_DISCOVERY_PHASE1_V3.md,old regime discovery v3; replaced by T2 branch
archive/superseded/REGIME_PHASE1_AUDIT_PACKET.md,file,redteam,report,SUPERSEDED,FALSE,,secondary,archive/superseded/REGIME_PHASE1_AUDIT_PACKET.md,old regime audit packet
archive/superseded/REGIME_PHASE1_METHODOLOGY_CLARIFICATION.md,file,redteam,report,SUPERSEDED,FALSE,,secondary,archive/superseded/REGIME_PHASE1_METHODOLOGY_CLARIFICATION.md,old regime methodology note
archive/superseded/REGIME_RESEARCH_PLAN.md,file,redteam,doc,SUPERSEDED,FALSE,,secondary,archive/superseded/REGIME_RESEARCH_PLAN.md,old regime research plan
REMOTE_VERIFICATION.md,file,governance,doc,ACTIVE,FALSE,,infra,REMOTE_VERIFICATION.md,phase R0 - remote push verification
archive/invalid/RESULTS_LATEST.md,file,original,report,INVALID,FALSE,,invalid,archive/invalid/RESULTS_LATEST.md,pre-lookahead result summary; superseded by STRICT_C chain
research/portfolio/SLIPPAGE_PATH_DISCONTINUITY_AUDIT.md,file,p31,report,ACCEPTED,FALSE,,secondary,research/portfolio/SLIPPAGE_PATH_DISCONTINUITY_AUDIT.md,10/20/50bp path-discontinuity audit
research/portfolio/SLOT_CONTENTION_PATH_AUDIT.md,file,p31,report,ACCEPTED,TRUE,,primary,research/portfolio/SLOT_CONTENTION_PATH_AUDIT.md,CANONICAL P3.1; C BOTH (diagnostic)
research/market_state/STEP_A_PREREGISTER.py,file,marketstate,script,ACCEPTED,FALSE,,primary,research/market_state/STEP_A_PREREGISTER.py,T2 preregistration step
research/ranking/STEP_A_RANKING_VALIDATE_PREREGISTER.py,file,p2val,script,ACCEPTED,FALSE,,primary,research/ranking/STEP_A_RANKING_VALIDATE_PREREGISTER.py,P2 preregister
research/ranking/STEP_B_RANKING_VALIDATE.py,file,p2val,script,ACCEPTED,FALSE,,primary,research/ranking/STEP_B_RANKING_VALIDATE.py,P2 validate
research/market_state/STEP_B_VALIDATE.py,file,marketstate,script,ACCEPTED,FALSE,,primary,research/market_state/STEP_B_VALIDATE.py,T2 validate step
research/execution/STOP_LOSS_COUNTERFACTUAL_PHASE_A.md,file,stopA,report,CLOSED,TRUE,,primary,research/execution/STOP_LOSS_COUNTERFACTUAL_PHASE_A.md,CANONICAL stop phase A; verdict C NO USEFUL STOP; semantics issue NOT formally closed (not ACCEPTED)
research/market_state/T3_R05_BASIS_CLARIFICATION.md,file,gateT3,report,ACCEPTED,FALSE,,secondary,research/market_state/T3_R05_BASIS_CLARIFICATION.md,R05 cutpoint-basis clarification (does not change T3 C)
research/market_state/TEMPORAL_CLUSTERING_PHASE_T1.md,file,temporal,report,ACCEPTED,TRUE,,primary,research/market_state/TEMPORAL_CLUSTERING_PHASE_T1.md,CANONICAL T1; A STRONG CLUSTERING
research/market_state/registries/TEMPORAL_STATE_FEATURE_REGISTRY.csv,file,marketstate,registry,ACCEPTED,FALSE,,primary,research/market_state/registries/TEMPORAL_STATE_FEATURE_REGISTRY.csv,T2 preregistered 27 features
research/market_state/registries/TEMPORAL_STATE_FEATURE_REGISTRY.sha256,file,marketstate,registry,ACCEPTED,FALSE,,primary,research/market_state/registries/TEMPORAL_STATE_FEATURE_REGISTRY.sha256,T2 registry hash
research/market_state/registries/TEMPORAL_STATE_REVERSE_VALIDATION_REGISTRY.csv,file,marketstate,registry,ACCEPTED,FALSE,,primary,research/market_state/registries/TEMPORAL_STATE_REVERSE_VALIDATION_REGISTRY.csv,T2-R reverse registry (7 vars)
research/market_state/registries/TEMPORAL_STATE_REVERSE_VALIDATION_REGISTRY.sha256,file,marketstate,registry,ACCEPTED,FALSE,,primary,research/market_state/registries/TEMPORAL_STATE_REVERSE_VALIDATION_REGISTRY.sha256,T2-R registry hash
docs/THIRD_PARTY_AUDIT_BRIEF.md,file,governance,doc,INFRASTRUCTURE,FALSE,,infra,docs/THIRD_PARTY_AUDIT_BRIEF.md,brief for third-party auditor
archive/superseded/THIRD_PARTY_CLAIM_CHECK_ADJ_FACTOR.md,file,redteam,report,SUPERSEDED,FALSE,THIRD_PARTY_CLAIM_CHECK_ADJ_FACTOR_V2.md,secondary,archive/superseded/THIRD_PARTY_CLAIM_CHECK_ADJ_FACTOR.md,superseded by V2
research/signal/THIRD_PARTY_CLAIM_CHECK_ADJ_FACTOR_V2.md,file,redteam,report,ACCEPTED,FALSE,,primary,research/signal/THIRD_PARTY_CLAIM_CHECK_ADJ_FACTOR_V2.md,adj-factor claim check v2
archive/superseded/TRADE_PATH_QUALITY_AUDIT.md,file,tradepath,report,SUPERSEDED,FALSE,FULL_MARKET_TRADE_PATH_AUDIT.md,primary,archive/superseded/TRADE_PATH_QUALITY_AUDIT.md,primary-only path audit; superseded by full-market
docs/TRADING_SYSTEM_STEPBYSTEP.md,file,governance,doc,INFRASTRUCTURE,FALSE,,infra,docs/TRADING_SYSTEM_STEPBYSTEP.md,original system description (historical)
src/analysis/__init__.py,file,governance,script,INFRASTRUCTURE,FALSE,,infra,src/analysis/__init__.py,analysis helpers
src/analysis/generate_kline_tool.py,file,governance,script,INFRASTRUCTURE,FALSE,,infra,src/analysis/generate_kline_tool.py,analysis helpers
src/analysis/generate_trade_charts.py,file,governance,script,INFRASTRUCTURE,FALSE,,infra,src/analysis/generate_trade_charts.py,analysis helpers
src/analysis/holding_period_analysis.py,file,governance,script,INFRASTRUCTURE,FALSE,,infra,src/analysis/holding_period_analysis.py,analysis helpers
archive/invalid/analysis/param_scan.py,file,original,script,INVALID,FALSE,,invalid,archive/invalid/analysis/param_scan.py,parameter/time-stop/topN sweep on original system
archive/invalid/analysis/parameter_sweep.py,file,original,script,INVALID,FALSE,,invalid,archive/invalid/analysis/parameter_sweep.py,parameter/time-stop/topN sweep on original system
archive/invalid/analysis/parameter_sweep_v2.py,file,original,script,INVALID,FALSE,,invalid,archive/invalid/analysis/parameter_sweep_v2.py,parameter/time-stop/topN sweep on original system
src/analysis/performance.py,file,governance,script,INFRASTRUCTURE,FALSE,,infra,src/analysis/performance.py,analysis helpers
src/analysis/plot_candlestick.py,file,governance,script,INFRASTRUCTURE,FALSE,,infra,src/analysis/plot_candlestick.py,analysis helpers
src/analysis/plot_charts.py,file,governance,script,INFRASTRUCTURE,FALSE,,infra,src/analysis/plot_charts.py,analysis helpers
src/analysis/position_analysis.py,file,governance,script,INFRASTRUCTURE,FALSE,,infra,src/analysis/position_analysis.py,analysis helpers
archive/invalid/analysis/single_stock_bb_backtest.py,file,original,script,INVALID,FALSE,,invalid,archive/invalid/analysis/single_stock_bb_backtest.py,parameter/time-stop/topN sweep on original system
archive/invalid/analysis/time_stop_single.py,file,original,script,INVALID,FALSE,,invalid,archive/invalid/analysis/time_stop_single.py,parameter/time-stop/topN sweep on original system
archive/invalid/analysis/time_stop_sweep.py,file,original,script,INVALID,FALSE,,invalid,archive/invalid/analysis/time_stop_sweep.py,parameter/time-stop/topN sweep on original system
archive/invalid/analysis/time_stop_sweep_v2.py,file,original,script,INVALID,FALSE,,invalid,archive/invalid/analysis/time_stop_sweep_v2.py,parameter/time-stop/topN sweep on original system
archive/invalid/analysis/topn_position_sweep.py,file,original,script,INVALID,FALSE,,invalid,archive/invalid/analysis/topn_position_sweep.py,parameter/time-stop/topN sweep on original system
archive/invalid/analysis/topn_position_sweep_v2.py,file,original,script,INVALID,FALSE,,invalid,archive/invalid/analysis/topn_position_sweep_v2.py,parameter/time-stop/topN sweep on original system
src/analysis/trade_review.py,file,governance,script,INFRASTRUCTURE,FALSE,,infra,src/analysis/trade_review.py,analysis helpers
archive/invalid/analyze_drawdown_postexit.py,file,original,script,INVALID,FALSE,,invalid,archive/invalid/analyze_drawdown_postexit.py,post-exit drawdown analysis (original)
archive/invalid/analyze_features_large.py,file,original,script,INVALID,FALSE,,invalid,archive/invalid/analyze_features_large.py,large feature analysis
archive/invalid/analyze_levels_comparison.py,file,original,script,INVALID,FALSE,,invalid,archive/invalid/analyze_levels_comparison.py,levels comparison analysis
archive/invalid/analyze_shrink_signal.py,file,original,script,INVALID,FALSE,,invalid,archive/invalid/analyze_shrink_signal.py,shrink-signal analysis
archive/invalid/analyze_trade_features.py,file,original,script,INVALID,FALSE,,invalid,archive/invalid/analyze_trade_features.py,original feature analysis
archive/invalid/analyze_volume_signal.py,file,original,script,INVALID,FALSE,,invalid,archive/invalid/analyze_volume_signal.py,volume-signal analysis
research/portfolio/atr_slot_allocation_p3.py,file,p3,script,CLOSED,FALSE,,primary,research/portfolio/atr_slot_allocation_p3.py,P3 engine + instrumentation
src/backtest/__init__.py,file,governance,script,INFRASTRUCTURE,FALSE,,infra,src/backtest/__init__.py,backtest framework
src/backtest/run_backtest.py,file,governance,script,INFRASTRUCTURE,FALSE,,infra,src/backtest/run_backtest.py,backtest framework
src/backtest/vbt_runner.py,file,governance,script,INFRASTRUCTURE,FALSE,,infra,src/backtest/vbt_runner.py,backtest framework
archive/invalid/bb_levels_comparison.py,file,original,script,INVALID,FALSE,,invalid,archive/invalid/bb_levels_comparison.py,levels comparison (original)
archive/invalid/bb_lower_upper_full_market.py,file,original,script,INVALID,FALSE,,invalid,archive/invalid/bb_lower_upper_full_market.py,BB lower/upper scan
archive/invalid/bb_sensitivity.py,file,original,script,INVALID,FALSE,,invalid,archive/invalid/bb_sensitivity.py,BB param sensitivity (original)
archive/invalid/bb_stop_grid.py,file,original,script,INVALID,FALSE,,invalid,archive/invalid/bb_stop_grid.py,"stop grid on original system (optimization, not evidence)"
archive/superseded/build_registry.py,file,redteam,script,SUPERSEDED,FALSE,,secondary,archive/superseded/build_registry.py,old registry builder
archive/superseded/claim_check_case_study.py,file,redteam,script,SUPERSEDED,FALSE,,secondary,archive/superseded/claim_check_case_study.py,adj-factor claim check case study
config/config.yaml,file,governance,config,INFRASTRUCTURE,FALSE,,infra,config/config.yaml,config
archive/superseded/cross_check_phase1.py,file,redteam,script,SUPERSEDED,FALSE,,secondary,archive/superseded/cross_check_phase1.py,old regime cross-check
research/ranking/cross_sectional_ranking_p1.py,file,ranking,script,ACCEPTED,FALSE,,primary,research/ranking/cross_sectional_ranking_p1.py,P1 ranking discovery
research/ranking/cross_sectional_ranking_p1_corrected.py,file,ranking,script,ACCEPTED,FALSE,,primary,research/ranking/cross_sectional_ranking_p1_corrected.py,P1.1 corrected
data/kline/2020.parquet,file,infra,data,INFRASTRUCTURE,FALSE,,infra,data/kline/2020.parquet,kline/etf market data (parquet)
data/kline/2021.parquet,file,infra,data,INFRASTRUCTURE,FALSE,,infra,data/kline/2021.parquet,kline/etf market data (parquet)
data/kline/2022.parquet,file,infra,data,INFRASTRUCTURE,FALSE,,infra,data/kline/2022.parquet,kline/etf market data (parquet)
data/kline/2023.parquet,file,infra,data,INFRASTRUCTURE,FALSE,,infra,data/kline/2023.parquet,kline/etf market data (parquet)
data/kline/2024.parquet,file,infra,data,INFRASTRUCTURE,FALSE,,infra,data/kline/2024.parquet,kline/etf market data (parquet)
data/kline/2025.parquet,file,infra,data,INFRASTRUCTURE,FALSE,,infra,data/kline/2025.parquet,kline/etf market data (parquet)
data/kline/2026.parquet,file,infra,data,INFRASTRUCTURE,FALSE,,infra,data/kline/2026.parquet,kline/etf market data (parquet)
data/kline/etf_513500_merged.parquet,file,infra,data,INFRASTRUCTURE,FALSE,,infra,data/kline/etf_513500_merged.parquet,kline/etf market data (parquet)
data/kline/merge_kline.py,file,infra,data,INFRASTRUCTURE,FALSE,,infra,data/kline/merge_kline.py,kline/etf market data (parquet)
src/data_loader/__init__.py,file,governance,script,INFRASTRUCTURE,FALSE,,infra,src/data_loader/__init__.py,data loader
src/data_loader/akshare_loader.py,file,governance,script,INFRASTRUCTURE,FALSE,,infra,src/data_loader/akshare_loader.py,data loader
src/data_loader/data_validator.py,file,governance,script,INFRASTRUCTURE,FALSE,,infra,src/data_loader/data_validator.py,data loader
src/data_loader/download_data.py,file,governance,script,INFRASTRUCTURE,FALSE,,infra,src/data_loader/download_data.py,data loader
src/data_loader/download_incremental.py,file,governance,script,INFRASTRUCTURE,FALSE,,infra,src/data_loader/download_incremental.py,data loader
src/data_loader/storage.py,file,governance,script,INFRASTRUCTURE,FALSE,,infra,src/data_loader/storage.py,data loader
src/data_loader/tushare_loader.py,file,governance,script,INFRASTRUCTURE,FALSE,,infra,src/data_loader/tushare_loader.py,data loader
archive/superseded/div_crosscheck.py,file,redteam,script,SUPERSEDED,FALSE,,secondary,archive/superseded/div_crosscheck.py,dividend cross-check (early)
archive/invalid/download_warmup.py,file,original,script,INVALID,FALSE,,invalid,archive/invalid/download_warmup.py,original warmup
src/engine/__init__.py,file,governance,script,INFRASTRUCTURE,FALSE,,infra,src/engine/__init__.py,engine modules
src/engine/commission.py,file,governance,script,INFRASTRUCTURE,FALSE,,infra,src/engine/commission.py,engine modules
src/engine/position.py,file,governance,script,INFRASTRUCTURE,FALSE,,infra,src/engine/position.py,engine modules
src/engine/trading_rules.py,file,governance,script,INFRASTRUCTURE,FALSE,,infra,src/engine/trading_rules.py,engine modules
archive/invalid/etf_live_backtest.py,file,original,script,INVALID,FALSE,,invalid,archive/invalid/etf_live_backtest.py,original ETF live backtest
archive/invalid/etf_plot.py,file,original,script,INVALID,FALSE,,invalid,archive/invalid/etf_plot.py,ETF plot helper
archive/invalid/etf_ratio_scan.py,file,original,script,INVALID,FALSE,,invalid,archive/invalid/etf_ratio_scan.py,ETF ratio scan
archive/invalid/experiment_fast.py,file,original,script,INVALID,FALSE,,invalid,archive/invalid/experiment_fast.py,early experiment
research/signal/export_trade_details.py,file,independent,script,ACCEPTED,FALSE,,secondary,research/signal/export_trade_details.py,trade detail export
figures/daily_signal_return_series.png,file,temporal,figure,ACCEPTED,FALSE,,supporting,figures/daily_signal_return_series.png,figure for phase temporal
figures/levels_vs_quality.png,file,fullmarket,figure,ACCEPTED,FALSE,,supporting,figures/levels_vs_quality.png,figure for phase fullmarket
figures/levels_vs_quality_secondary.png,file,fullmarket,figure,ACCEPTED,FALSE,,supporting,figures/levels_vs_quality_secondary.png,figure for phase fullmarket
figures/mae_distribution_winner_loser.png,file,fullmarket,figure,ACCEPTED,FALSE,,supporting,figures/mae_distribution_winner_loser.png,figure for phase fullmarket
figures/mae_threshold_win_probability.png,file,fullmarket,figure,ACCEPTED,FALSE,,supporting,figures/mae_threshold_win_probability.png,figure for phase fullmarket
figures/mae_threshold_winprob_comparison.png,file,fullmarket,figure,ACCEPTED,FALSE,,supporting,figures/mae_threshold_winprob_comparison.png,figure for phase fullmarket
figures/mae_vs_final_return.png,file,fullmarket,figure,ACCEPTED,FALSE,,supporting,figures/mae_vs_final_return.png,figure for phase fullmarket
figures/mfe_vs_actual_return.png,file,fullmarket,figure,ACCEPTED,FALSE,,supporting,figures/mfe_vs_actual_return.png,figure for phase fullmarket
figures/monthly_strategy_quality_heatmap.png,file,temporal,figure,ACCEPTED,FALSE,,supporting,figures/monthly_strategy_quality_heatmap.png,figure for phase temporal
figures/p1_crowding_sensitivity.png,file,ranking,figure,ACCEPTED,FALSE,,supporting,figures/p1_crowding_sensitivity.png,figure for phase ranking
figures/p1_feature_quintiles_top.png,file,ranking,figure,ACCEPTED,FALSE,,supporting,figures/p1_feature_quintiles_top.png,figure for phase ranking
figures/p1_k3_lift_vs_random.png,file,ranking,figure,ACCEPTED,FALSE,,supporting,figures/p1_k3_lift_vs_random.png,figure for phase ranking
figures/p1_marketstate_sensitivity.png,file,ranking,figure,ACCEPTED,FALSE,,supporting,figures/p1_marketstate_sensitivity.png,figure for phase ranking
figures/p1_master_ic.png,file,ranking,figure,ACCEPTED,FALSE,,supporting,figures/p1_master_ic.png,figure for phase ranking
figures/post_exit_opportunity.png,file,fullmarket,figure,ACCEPTED,FALSE,,supporting,figures/post_exit_opportunity.png,figure for phase fullmarket
figures/primary_secondary_temporal_compare.png,file,temporal,figure,ACCEPTED,FALSE,,supporting,figures/primary_secondary_temporal_compare.png,figure for phase temporal
figures/primary_vs_secondary_mae.png,file,fullmarket,figure,ACCEPTED,FALSE,,supporting,figures/primary_vs_secondary_mae.png,figure for phase fullmarket
figures/primary_vs_secondary_mfe.png,file,fullmarket,figure,ACCEPTED,FALSE,,supporting,figures/primary_vs_secondary_mfe.png,figure for phase fullmarket
figures/quarterly_strategy_return.png,file,temporal,figure,ACCEPTED,FALSE,,supporting,figures/quarterly_strategy_return.png,figure for phase temporal
figures/secondary_mae_vs_final_return_hexbin.png,file,fullmarket,figure,ACCEPTED,FALSE,,supporting,figures/secondary_mae_vs_final_return_hexbin.png,figure for phase fullmarket
figures/secondary_return_distribution.png,file,fullmarket,figure,ACCEPTED,FALSE,,supporting,figures/secondary_return_distribution.png,figure for phase fullmarket
figures/signal_crowding_vs_quality.png,file,fullmarket,figure,ACCEPTED,FALSE,,supporting,figures/signal_crowding_vs_quality.png,figure for phase fullmarket
figures/stop_return_distribution_comparison.png,file,stopA,figure,ACCEPTED,FALSE,,supporting,figures/stop_return_distribution_comparison.png,figure for phase stopA
figures/stop_threshold_by_baseline_levels.png,file,stopA,figure,ACCEPTED,FALSE,,supporting,figures/stop_threshold_by_baseline_levels.png,figure for phase stopA
figures/stop_threshold_early_vs_late.png,file,stopA,figure,ACCEPTED,FALSE,,supporting,figures/stop_threshold_early_vs_late.png,figure for phase stopA
figures/stop_threshold_hold_days.png,file,stopA,figure,ACCEPTED,FALSE,,supporting,figures/stop_threshold_hold_days.png,figure for phase stopA
figures/stop_threshold_killed_vs_saved.png,file,stopA,figure,ACCEPTED,FALSE,,supporting,figures/stop_threshold_killed_vs_saved.png,figure for phase stopA
figures/stop_threshold_stopfirst_vs_tpfirst.png,file,stopA,figure,ACCEPTED,FALSE,,supporting,figures/stop_threshold_stopfirst_vs_tpfirst.png,figure for phase stopA
figures/stop_threshold_vs_expected_shortfall.png,file,stopA,figure,ACCEPTED,FALSE,,supporting,figures/stop_threshold_vs_expected_shortfall.png,figure for phase stopA
figures/stop_threshold_vs_mean_return.png,file,stopA,figure,ACCEPTED,FALSE,,supporting,figures/stop_threshold_vs_mean_return.png,figure for phase stopA
figures/stop_threshold_vs_net_stop_value.png,file,stopA,figure,ACCEPTED,FALSE,,supporting,figures/stop_threshold_vs_net_stop_value.png,figure for phase stopA
figures/stop_threshold_vs_p5_return.png,file,stopA,figure,ACCEPTED,FALSE,,supporting,figures/stop_threshold_vs_p5_return.png,figure for phase stopA
figures/stop_threshold_vs_profit_factor.png,file,stopA,figure,ACCEPTED,FALSE,,supporting,figures/stop_threshold_vs_profit_factor.png,figure for phase stopA
figures/t2_badstate_auc.png,file,marketstate,figure,ACCEPTED,FALSE,,supporting,figures/t2_badstate_auc.png,figure for phase marketstate
