factor_id,factor_name,formula,failure_stage,failure_reason,discovery_metric,validation_metric,test_metric,yearly_direction,correlation_with_existing,duplicate_of,leakage_detected,date_killed,notes
AFS_000017,SYMBOLIC_HUMAN_17,"interaction(distance_52w_high, ret_20d)",DISCOVERY_FAIL,NO_SIGNAL,-0.0073,nan,nan,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=-0.0004; val_q5q1=nan; test_q5q1=nan
AFS_000018,SYMBOLIC_HUMAN_18,"diff(ret_3d, cs_zscore(ret_10d))",NO_KEEP_WEAK,UNSTABLE,0.0345,0.0163,0.0497,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=0.0055; val_q5q1=0.0016; test_q5q1=0.0113
AFS_000019,SYMBOLIC_HUMAN_19,"ratio(daily_range_pct, realized_vol_10)",DISCOVERY_FAIL,NO_SIGNAL,0.0054,nan,nan,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=0.0022; val_q5q1=nan; test_q5q1=nan
AFS_000020,SYMBOLIC_HUMAN_20,"interaction(bb_width, daily_bb_signal_count)",DISCOVERY_FAIL,NO_SIGNAL,-0.0141,nan,nan,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=0.0013; val_q5q1=nan; test_q5q1=nan
AFS_000021,SYMBOLIC_HUMAN_21,"diff(drawdown_20, drawdown_60)",VALIDATION_FAIL,OOS_FAIL,0.0406,-0.0421,0.0111,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=0.0074; val_q5q1=-0.0091; test_q5q1=0.0045
AFS_000022,SYMBOLIC_HUMAN_22,"ratio(ret_20d, bb_width)",DISCOVERY_FAIL,NO_SIGNAL,-0.0149,nan,nan,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=0.0016; val_q5q1=nan; test_q5q1=nan
AFS_000023,SYMBOLIC_HUMAN_23,"interaction(signal_count_last_20d, bb_z)",DISCOVERY_FAIL,NO_SIGNAL,-0.0182,nan,nan,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=-0.0057; val_q5q1=nan; test_q5q1=nan
AFS_000024,SYMBOLIC_HUMAN_24,"diff(ret_5d, csi500_ret_5)",NO_KEEP_WEAK,UNSTABLE,0.0385,0.0451,0.0482,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=0.0065; val_q5q1=0.0068; test_q5q1=0.0034
AFS_000025,SYMBOLIC_HUMAN_25,"ratio(distance_ma20, atr14_pct)",DISCOVERY_FAIL,NO_SIGNAL,-0.0134,nan,nan,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=-0.0006; val_q5q1=nan; test_q5q1=nan
AFS_000026,SYMBOLIC_HUMAN_26,"interaction(market_up_ratio, bb_z)",DISCOVERY_FAIL,NO_SIGNAL,0.0093,nan,nan,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=0.0010; val_q5q1=nan; test_q5q1=nan
AFS_000027,SYMBOLIC_HUMAN_27,"diff(log_amount, cs_zscore(amount_ratio_5_20))",VALIDATION_FAIL,OOS_FAIL,-0.0439,-0.0936,0.0535,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=-0.0084; val_q5q1=-0.0190; test_q5q1=0.0189
AFS_000028,SYMBOLIC_HUMAN_28,"ratio(ret_60d, realized_vol_20)",TEST_FAIL,OOS_FAIL,-0.0285,0.0208,-0.0119,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=-0.0072; val_q5q1=0.0026; test_q5q1=-0.0096
AFS_000029,SYMBOLIC_HUMAN_29,"interaction(days_since_first_signal, bb_z)",NO_KEEP_WEAK,UNSTABLE,-0.0530,0.0047,0.0200,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=-0.0133; val_q5q1=-0.0015; test_q5q1=-0.0055
AFS_000030,SYMBOLIC_HUMAN_30,"diff(ret_1d, ret_5d)",TEST_FAIL,OOS_FAIL,-0.0213,-0.0372,-0.0260,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=-0.0015; val_q5q1=-0.0040; test_q5q1=-0.0020
AFS_000031,SYMBOLIC_TEMPLATE_31,"ratio(bb_z,distance_to_lower_band)",DISCOVERY_FAIL,NO_SIGNAL,0.0149,nan,nan,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=-0.0009; val_q5q1=nan; test_q5q1=nan
AFS_000032,SYMBOLIC_TEMPLATE_32,"diff(bb_z,distance_to_lower_band)",DISCOVERY_FAIL,NO_SIGNAL,-0.0138,nan,nan,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=0.0019; val_q5q1=nan; test_q5q1=nan
AFS_000033,SYMBOLIC_TEMPLATE_33,"interaction(bb_z,distance_to_lower_band)",DISCOVERY_FAIL,NO_SIGNAL,-0.0152,nan,nan,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=-0.0009; val_q5q1=nan; test_q5q1=nan
AFS_000034,SYMBOLIC_TEMPLATE_34,"min(bb_z,distance_to_lower_band)",DISCOVERY_FAIL,NO_SIGNAL,0.0124,nan,nan,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=0.0018; val_q5q1=nan; test_q5q1=nan
AFS_000035,SYMBOLIC_TEMPLATE_35,"max(bb_z,distance_to_lower_band)",DISCOVERY_FAIL,NO_SIGNAL,0.0162,nan,nan,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=-0.0005; val_q5q1=nan; test_q5q1=nan
AFS_000036,SYMBOLIC_TEMPLATE_36,"ratio(bb_z,ret_5d)",NO_KEEP_WEAK,UNSTABLE,0.0415,0.0546,0.0402,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=0.0069; val_q5q1=0.0081; test_q5q1=-0.0025
AFS_000037,SYMBOLIC_TEMPLATE_37,"diff(bb_z,ret_5d)",TEST_FAIL,OOS_FAIL,-0.0398,-0.0511,-0.0449,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=-0.0053; val_q5q1=-0.0061; test_q5q1=-0.0018
AFS_000038,SYMBOLIC_TEMPLATE_38,"interaction(bb_z,ret_5d)",TEST_FAIL,OOS_FAIL,-0.0375,-0.0388,-0.0493,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=-0.0056; val_q5q1=-0.0044; test_q5q1=-0.0075
AFS_000039,SYMBOLIC_TEMPLATE_39,"min(bb_z,ret_5d)",NO_KEEP_WEAK,UNSTABLE,0.0382,0.0436,0.0484,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=0.0065; val_q5q1=0.0065; test_q5q1=0.0034
AFS_000040,SYMBOLIC_TEMPLATE_40,"max(bb_z,ret_5d)",DISCOVERY_FAIL,NO_SIGNAL,0.0085,nan,nan,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=0.0005; val_q5q1=nan; test_q5q1=nan
AFS_000041,SYMBOLIC_TEMPLATE_41,"ratio(bb_z,ret_20d)",DISCOVERY_FAIL,NO_SIGNAL,0.0018,nan,nan,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=-0.0028; val_q5q1=nan; test_q5q1=nan
AFS_000042,SYMBOLIC_TEMPLATE_42,"diff(bb_z,ret_20d)",DISCOVERY_FAIL,NO_SIGNAL,0.0031,nan,nan,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=0.0007; val_q5q1=nan; test_q5q1=nan
AFS_000043,SYMBOLIC_TEMPLATE_43,"interaction(bb_z,ret_20d)",DISCOVERY_FAIL,NO_SIGNAL,0.0037,nan,nan,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=0.0018; val_q5q1=nan; test_q5q1=nan
AFS_000044,SYMBOLIC_TEMPLATE_44,"min(bb_z,ret_20d)",DISCOVERY_FAIL,NO_SIGNAL,-0.0020,nan,nan,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=-0.0001; val_q5q1=nan; test_q5q1=nan
AFS_000045,SYMBOLIC_TEMPLATE_45,"max(bb_z,ret_20d)",DISCOVERY_FAIL,NO_SIGNAL,0.0116,nan,nan,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=0.0023; val_q5q1=nan; test_q5q1=nan
AFS_000046,SYMBOLIC_TEMPLATE_46,"ratio(bb_z,atr14_pct)",TEST_FAIL,OOS_FAIL,-0.0426,-0.0463,-0.0607,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=-0.0032; val_q5q1=-0.0096; test_q5q1=-0.0068
AFS_000047,SYMBOLIC_TEMPLATE_47,"diff(bb_z,atr14_pct)",NO_KEEP_WEAK,UNSTABLE,0.0439,0.0308,0.0669,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=0.0061; val_q5q1=0.0073; test_q5q1=0.0087
AFS_000048,SYMBOLIC_TEMPLATE_48,"interaction(bb_z,atr14_pct)",NO_KEEP_WEAK,UNSTABLE,0.0413,0.0300,0.0654,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=0.0062; val_q5q1=0.0072; test_q5q1=0.0109
AFS_000049,SYMBOLIC_TEMPLATE_49,"min(bb_z,atr14_pct)",DISCOVERY_FAIL,NO_SIGNAL,0.0093,nan,nan,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=0.0010; val_q5q1=nan; test_q5q1=nan
AFS_000050,SYMBOLIC_TEMPLATE_50,"max(bb_z,atr14_pct)",TEST_FAIL,OOS_FAIL,-0.0448,-0.0386,-0.0637,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=-0.0055; val_q5q1=-0.0085; test_q5q1=-0.0081
AFS_000051,SYMBOLIC_TEMPLATE_51,"ratio(bb_z,bb_width)",DISCOVERY_FAIL,NO_SIGNAL,-0.0123,nan,nan,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=0.0018; val_q5q1=nan; test_q5q1=nan
AFS_000052,SYMBOLIC_TEMPLATE_52,"diff(bb_z,bb_width)",DISCOVERY_FAIL,NO_SIGNAL,0.0149,nan,nan,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=0.0003; val_q5q1=nan; test_q5q1=nan
AFS_000053,SYMBOLIC_TEMPLATE_53,"interaction(bb_z,bb_width)",DISCOVERY_FAIL,NO_SIGNAL,0.0152,nan,nan,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=-0.0005; val_q5q1=nan; test_q5q1=nan
AFS_000054,SYMBOLIC_TEMPLATE_54,"min(bb_z,bb_width)",DISCOVERY_FAIL,NO_SIGNAL,0.0093,nan,nan,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=0.0010; val_q5q1=nan; test_q5q1=nan
AFS_000055,SYMBOLIC_TEMPLATE_55,"max(bb_z,bb_width)",DISCOVERY_FAIL,NO_SIGNAL,-0.0141,nan,nan,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=0.0013; val_q5q1=nan; test_q5q1=nan
AFS_000056,SYMBOLIC_TEMPLATE_56,"ratio(bb_z,drawdown_20)",NO_KEEP_WEAK,UNSTABLE,0.0349,0.0512,0.0451,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=0.0053; val_q5q1=0.0081; test_q5q1=0.0027
AFS_000057,SYMBOLIC_TEMPLATE_57,"diff(bb_z,drawdown_20)",TEST_FAIL,OOS_FAIL,-0.0355,-0.0498,-0.0487,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=-0.0041; val_q5q1=-0.0086; test_q5q1=0.0008
AFS_000058,SYMBOLIC_TEMPLATE_58,"interaction(bb_z,drawdown_20)",TEST_FAIL,OOS_FAIL,-0.0321,-0.0466,-0.0478,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=-0.0066; val_q5q1=-0.0090; test_q5q1=-0.0022
AFS_000059,SYMBOLIC_TEMPLATE_59,"min(bb_z,drawdown_20)",NO_KEEP_WEAK,UNSTABLE,0.0366,0.0498,0.0482,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=0.0055; val_q5q1=0.0087; test_q5q1=-0.0020
AFS_000060,SYMBOLIC_TEMPLATE_60,"max(bb_z,drawdown_20)",DISCOVERY_FAIL,NO_SIGNAL,0.0089,nan,nan,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=0.0009; val_q5q1=nan; test_q5q1=nan
AFS_000061,SYMBOLIC_TEMPLATE_61,"ratio(bb_z,distance_52w_high)",DISCOVERY_FAIL,NO_SIGNAL,0.0082,nan,nan,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=-0.0027; val_q5q1=nan; test_q5q1=nan
AFS_000062,SYMBOLIC_TEMPLATE_62,"diff(bb_z,distance_52w_high)",DISCOVERY_FAIL,NO_SIGNAL,-0.0095,nan,nan,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=0.0003; val_q5q1=nan; test_q5q1=nan
AFS_000063,SYMBOLIC_TEMPLATE_63,"interaction(bb_z,distance_52w_high)",DISCOVERY_FAIL,NO_SIGNAL,-0.0126,nan,nan,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=-0.0001; val_q5q1=nan; test_q5q1=nan
AFS_000064,SYMBOLIC_TEMPLATE_64,"min(bb_z,distance_52w_high)",DISCOVERY_FAIL,NO_SIGNAL,0.0110,nan,nan,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=0.0015; val_q5q1=nan; test_q5q1=nan
AFS_000065,SYMBOLIC_TEMPLATE_65,"max(bb_z,distance_52w_high)",DISCOVERY_FAIL,NO_SIGNAL,0.0095,nan,nan,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=0.0016; val_q5q1=nan; test_q5q1=nan
AFS_000066,SYMBOLIC_TEMPLATE_66,"ratio(bb_z,log_amount)",VALIDATION_FAIL,OOS_FAIL,-0.0302,-0.0874,0.0310,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=-0.0032; val_q5q1=-0.0195; test_q5q1=0.0159
AFS_000067,SYMBOLIC_TEMPLATE_67,"diff(bb_z,log_amount)",TEST_FAIL,OOS_FAIL,0.0485,0.0974,-0.0320,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=0.0080; val_q5q1=0.0219; test_q5q1=-0.0183
AFS_000068,SYMBOLIC_TEMPLATE_68,"interaction(bb_z,log_amount)",TEST_FAIL,OOS_FAIL,0.0427,0.0678,-0.0128,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=0.0071; val_q5q1=0.0125; test_q5q1=-0.0101
AFS_000069,SYMBOLIC_TEMPLATE_69,"min(bb_z,log_amount)",DISCOVERY_FAIL,NO_SIGNAL,0.0093,nan,nan,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=0.0010; val_q5q1=nan; test_q5q1=nan
AFS_000070,SYMBOLIC_TEMPLATE_70,"max(bb_z,log_amount)",VALIDATION_FAIL,OOS_FAIL,-0.0479,-0.1048,0.0379,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=-0.0078; val_q5q1=-0.0241; test_q5q1=0.0206
AFS_000071,SYMBOLIC_TEMPLATE_71,"ratio(bb_z,amount_ratio_5_20)",DISCOVERY_FAIL,NO_SIGNAL,0.0157,nan,nan,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=0.0060; val_q5q1=nan; test_q5q1=nan
AFS_000072,SYMBOLIC_TEMPLATE_72,"diff(bb_z,amount_ratio_5_20)",DISCOVERY_FAIL,NO_SIGNAL,-0.0056,nan,nan,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=-0.0035; val_q5q1=nan; test_q5q1=nan
AFS_000073,SYMBOLIC_TEMPLATE_73,"interaction(bb_z,amount_ratio_5_20)",DISCOVERY_FAIL,NO_SIGNAL,-0.0092,nan,nan,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=-0.0051; val_q5q1=nan; test_q5q1=nan
AFS_000074,SYMBOLIC_TEMPLATE_74,"min(bb_z,amount_ratio_5_20)",DISCOVERY_FAIL,NO_SIGNAL,0.0093,nan,nan,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=0.0010; val_q5q1=nan; test_q5q1=nan
AFS_000075,SYMBOLIC_TEMPLATE_75,"max(bb_z,amount_ratio_5_20)",DISCOVERY_FAIL,NO_SIGNAL,0.0106,nan,nan,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=0.0058; val_q5q1=nan; test_q5q1=nan
AFS_000076,SYMBOLIC_TEMPLATE_76,"ratio(bb_z,turnover_rank)",VALIDATION_FAIL,OOS_FAIL,-0.0444,-0.1125,0.0375,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=-0.0078; val_q5q1=-0.0262; test_q5q1=0.0225
AFS_000077,SYMBOLIC_TEMPLATE_77,"diff(bb_z,turnover_rank)",TEST_FAIL,OOS_FAIL,0.0418,0.0694,-0.0153,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=0.0082; val_q5q1=0.0136; test_q5q1=-0.0072
AFS_000078,SYMBOLIC_TEMPLATE_78,"min(bb_z,turnover_rank)",DISCOVERY_FAIL,NO_SIGNAL,0.0093,nan,nan,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=0.0010; val_q5q1=nan; test_q5q1=nan
AFS_000079,SYMBOLIC_TEMPLATE_79,"max(bb_z,turnover_rank)",VALIDATION_FAIL,OOS_FAIL,-0.0479,-0.1048,0.0379,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=-0.0078; val_q5q1=-0.0241; test_q5q1=0.0206
AFS_000080,SYMBOLIC_TEMPLATE_80,"ratio(bb_z,daily_bb_signal_count)",DISCOVERY_FAIL,NO_SIGNAL,0.0093,nan,nan,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=0.0010; val_q5q1=nan; test_q5q1=nan
AFS_000081,SYMBOLIC_TEMPLATE_81,"diff(bb_z,daily_bb_signal_count)",DISCOVERY_FAIL,NO_SIGNAL,0.0093,nan,nan,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=0.0010; val_q5q1=nan; test_q5q1=nan
AFS_000082,SYMBOLIC_TEMPLATE_82,"min(bb_z,daily_bb_signal_count)",DISCOVERY_FAIL,NO_SIGNAL,0.0093,nan,nan,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=0.0010; val_q5q1=nan; test_q5q1=nan
AFS_000083,SYMBOLIC_TEMPLATE_83,"max(bb_z,daily_bb_signal_count)",DISCOVERY_FAIL,NO_SIGNAL,nan,nan,nan,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=nan; val_q5q1=nan; test_q5q1=nan
AFS_000084,SYMBOLIC_TEMPLATE_84,"ratio(bb_z,market_up_ratio)",DISCOVERY_FAIL,NO_SIGNAL,0.0093,nan,nan,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=0.0010; val_q5q1=nan; test_q5q1=nan
AFS_000085,SYMBOLIC_TEMPLATE_85,"diff(bb_z,market_up_ratio)",DISCOVERY_FAIL,NO_SIGNAL,0.0093,nan,nan,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=0.0010; val_q5q1=nan; test_q5q1=nan
AFS_000086,SYMBOLIC_TEMPLATE_86,"min(bb_z,market_up_ratio)",DISCOVERY_FAIL,NO_SIGNAL,0.0093,nan,nan,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=0.0010; val_q5q1=nan; test_q5q1=nan
AFS_000087,SYMBOLIC_TEMPLATE_87,"max(bb_z,market_up_ratio)",DISCOVERY_FAIL,NO_SIGNAL,nan,nan,nan,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=nan; val_q5q1=nan; test_q5q1=nan
AFS_000088,SYMBOLIC_TEMPLATE_88,"ratio(bb_z,csi300_ret_5)",DISCOVERY_FAIL,NO_SIGNAL,0.0099,nan,nan,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=0.0023; val_q5q1=nan; test_q5q1=nan
AFS_000089,SYMBOLIC_TEMPLATE_89,"diff(bb_z,csi300_ret_5)",DISCOVERY_FAIL,NO_SIGNAL,0.0093,nan,nan,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=0.0010; val_q5q1=nan; test_q5q1=nan
AFS_000090,SYMBOLIC_TEMPLATE_90,"interaction(bb_z,csi300_ret_5)",DISCOVERY_FAIL,NO_SIGNAL,0.0099,nan,nan,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=0.0023; val_q5q1=nan; test_q5q1=nan
AFS_000091,SYMBOLIC_TEMPLATE_91,"min(bb_z,csi300_ret_5)",DISCOVERY_FAIL,NO_SIGNAL,0.0116,nan,nan,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=0.0027; val_q5q1=nan; test_q5q1=nan
AFS_000092,SYMBOLIC_TEMPLATE_92,"max(bb_z,csi300_ret_5)",DISCOVERY_FAIL,NO_SIGNAL,-0.0028,nan,nan,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=-0.0052; val_q5q1=nan; test_q5q1=nan
AFS_000093,SYMBOLIC_TEMPLATE_93,"ratio(bb_z,csi500_ret_5)",DISCOVERY_FAIL,NO_SIGNAL,0.0025,nan,nan,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=0.0010; val_q5q1=nan; test_q5q1=nan
