episode_id,ts_code,stock_name,signal_date,entry_date,exit_date,exit_type,levels_used,hold_days,total_cost,pnl,simple_return_pct
52279,600678.SH,四川金顶,2024-01-22,2024-01-23,2024-03-01,TAKE_PROFIT_DYN,4,22,799194.92566914,354541.79751606006,44.36236844462116
52545,002290.SZ,禾盛新材,2024-01-23,2024-01-24,2024-03-13,TAKE_PROFIT_DYN,4,29,798529.0875962399,351484.19755416,44.016455131548184
50271,603533.SH,掌阅科技,2023-12-25,2023-12-26,2024-03-12,TAKE_PROFIT_DYN,5,48,996696.51573492,348125.45021100005,34.92792888458205
50356,003005.SZ,竞业达,2023-12-26,2023-12-27,2024-03-06,TAKE_PROFIT_DYN,5,43,995406.8925200398,341203.54493412026,34.277796095052764
11298,300530.SZ,达志科技,2021-04-21,2021-04-22,2021-05-21,TAKE_PROFIT_DYN,3,18,597569.14459242,339902.55685602,56.88087477941236
51154,300711.SZ,广哈通信,2024-01-17,2024-01-18,2024-04-02,TAKE_PROFIT_DYN,5,47,996564.3493806,339755.6000124001,34.09269057473009
50580,300757.SZ,罗博特科,2024-01-03,2024-01-04,2024-02-27,TAKE_PROFIT_DYN,5,32,985096.91562282,338269.86166842,34.33873929597592
51626,002209.SZ,达意隆,2024-01-19,2024-01-22,2024-03-01,TAKE_PROFIT_DYN,4,23,799559.3844037799,338060.74171122024,42.280879732692696
50194,300302.SZ,同有科技,2023-12-25,2023-12-26,2024-03-11,TAKE_PROFIT_DYN,5,47,997513.54410708,336385.6714429201,33.722416445386145
24102,688107.SH,安路科技,2022-03-29,2022-03-30,2022-05-13,TAKE_PROFIT_DYN,5,27,984750.4795728598,335002.7924208003,34.019053493237124
50921,300293.SZ,蓝英装备,2024-01-10,2024-01-11,2024-02-26,TAKE_PROFIT_DYN,5,26,998062.23472956,334559.23264764016,33.52087885965288
52638,300530.SZ,达志科技,2024-01-29,2024-01-30,2024-03-12,TAKE_PROFIT_DYN,4,24,798547.1102809199,334084.8067563601,41.83658076714256
56304,300197.SZ,铁汉生态,2024-05-28,2024-05-29,2024-07-03,TAKE_PROFIT_DYN,5,24,999966.63174408,333395.5302770402,33.340665547564555
52991,688685.SH,迈信林,2024-02-02,2024-02-05,2024-03-13,TAKE_PROFIT_DYN,2,21,398256.2747163,332967.06087282,83.60623096522733
52869,603798.SH,康普顿,2024-01-31,2024-02-01,2024-03-04,TAKE_PROFIT_DYN,3,16,599009.9581065599,325497.7446375601,54.33928772510593
51664,300192.SZ,科斯伍德,2024-01-19,2024-01-22,2024-02-28,TAKE_PROFIT_DYN,5,21,998257.48048026,325489.62654054014,32.6057788601742
51768,688228.SH,开普云,2024-01-19,2024-01-22,2024-03-01,TAKE_PROFIT_DYN,5,23,988681.42735362,321389.7812551799,32.50690994726545
50923,300429.SZ,强力新材,2024-01-10,2024-01-11,2024-03-20,TAKE_PROFIT_DYN,5,43,997252.2151792198,314517.9992031001,31.53846082423361
52535,688787.SH,海天瑞声,2024-01-22,2024-01-23,2024-03-01,TAKE_PROFIT_DYN,4,22,786115.4628927598,309553.5952832403,39.37762452148444
60963,688658.SH,悦康药业,2024-09-12,2024-09-13,2024-10-08,TAKE_PROFIT_DYN,3,10,596754.1187407799,306152.6521977,51.30298100727272
50777,301013.SZ,利和兴,2024-01-08,2024-01-09,2024-03-21,TAKE_PROFIT_DYN,5,46,997256.22022026,304978.7984225401,30.58178953801669
54451,002199.SZ,东晶电子,2024-04-15,2024-04-16,2024-06-17,TAKE_PROFIT_DYN,5,40,999255.73695948,303795.84262500016,30.402211504873172
52186,301398.SZ,星源卓镁,2024-01-22,2024-01-23,2024-03-12,TAKE_PROFIT_DYN,3,29,596806.1842742999,302029.76084490016,50.60767947841561
52826,300949.SZ,奥雅设计,2024-01-31,2024-02-01,2024-03-18,TAKE_PROFIT_DYN,3,26,595031.9510935799,300638.5725756601,50.52477804311706
51565,603269.SH,海鸥股份,2024-01-18,2024-01-19,2024-03-15,TAKE_PROFIT_DYN,5,34,998072.24733216,300540.15559260035,30.112064171300435
48695,600895.SH,张江高科,2023-12-07,2023-12-08,2024-03-01,TAKE_PROFIT_DYN,5,53,995162.5850165996,298445.6369782804,29.989636012421244
52264,600571.SH,信雅达,2024-01-22,2024-01-23,2024-02-23,TAKE_PROFIT_DYN,4,17,798965.6370695999,298360.500768,37.34334581175599
9035,000711.SZ,京蓝科技,2021-01-07,2021-01-08,2021-02-18,TAKE_PROFIT_DYN,4,24,799576.4058281998,298048.73171039997,37.27582874355599
50652,301306.SZ,西测测试,2024-01-05,2024-01-08,2024-02-23,TAKE_PROFIT_DYN,5,28,989998.0845955198,297974.07006840035,30.098449149034728
50657,600520.SH,文一科技,2024-01-05,2024-01-08,2024-03-04,TAKE_PROFIT_DYN,4,34,795236.9438613598,296519.0105354403,37.286875669490385
50214,301380.SZ,挖金客,2023-12-25,2023-12-26,2024-03-25,TAKE_PROFIT_DYN,5,57,993322.2686587198,294584.0021150402,29.65643793658387
52142,300956.SZ,英力股份,2024-01-22,2024-01-23,2024-03-21,TAKE_PROFIT_DYN,3,36,598329.1011297599,293481.22552055994,49.050133942409154
50007,300290.SZ,荣科科技,2023-12-22,2023-12-25,2024-02-23,TAKE_PROFIT_DYN,5,37,998943.34375836,292512.6711579602,29.282208344011725
51140,300466.SZ,赛摩电气,2024-01-17,2024-01-18,2024-02-19,TAKE_PROFIT_DYN,5,16,999051.47986644,291191.67252648016,29.146813592169313
51195,301139.SZ,元道通信,2024-01-17,2024-01-18,2024-03-22,TAKE_PROFIT_DYN,5,40,992094.7235799596,290872.2519133203,29.318999990617012
51974,002827.SZ,高争民爆,2024-01-22,2024-01-23,2024-05-06,TAKE_PROFIT_DYN,5,63,996672.48548868,290658.7986073203,29.16291989989138
52071,300493.SZ,润欣科技,2024-01-22,2024-01-23,2024-03-14,TAKE_PROFIT_DYN,4,31,799383.1625980198,288459.6880195801,36.08528444383008
52564,600605.SH,汇通能源,2024-01-23,2024-01-24,2024-04-01,TAKE_PROFIT_DYN,4,42,794332.80584658,287740.2131782201,36.22413817739201
52602,300893.SZ,松原股份,2024-01-26,2024-01-29,2024-03-18,TAKE_PROFIT_DYN,4,29,795597.39755496,286755.1288826399,36.04274344836967
52129,300857.SZ,协创数据,2024-01-22,2024-01-23,2024-03-12,TAKE_PROFIT_DYN,3,29,596065.2516818999,285802.5969988201,47.94820637377858
52494,688039.SH,当虹科技,2024-01-22,2024-01-23,2024-02-21,TAKE_PROFIT_DYN,3,15,597110.5673933399,285733.56075066,47.85270540396185
53102,603499.SH,翔港科技,2024-02-06,2024-02-07,2024-03-07,TAKE_PROFIT_DYN,2,15,399494.8336579199,285697.6240060801,71.51472307917697
23777,600228.SH,返利科技,2022-03-15,2022-03-16,2022-05-09,TAKE_PROFIT_DYN,5,33,998777.1345552,285504.4401629402,28.585400114319604
52436,603660.SH,苏州科达,2024-01-22,2024-01-23,2024-03-04,TAKE_PROFIT_DYN,4,23,798736.3484700599,283648.1216718599,35.51210887236744
51217,301499.SZ,维科精密,2024-01-17,2024-01-18,2024-03-19,TAKE_PROFIT_DYN,5,37,992629.3965588,282398.57017019985,28.449547348608224
50653,301313.SZ,凡拓数创,2024-01-05,2024-01-08,2024-03-05,TAKE_PROFIT_DYN,4,35,793553.8253643,281210.0748157799,35.436799096354136
52026,300152.SZ,科融环境,2024-01-22,2024-01-23,2024-02-29,TAKE_PROFIT_DYN,3,21,599694.8201243998,279635.5005444002,46.62963413397384
52677,688503.SH,聚和材料,2024-01-29,2024-01-30,2024-03-11,TAKE_PROFIT_DYN,3,23,595184.1426531,279530.31274146005,46.965349495942945
49455,002194.SZ,武汉凡谷,2023-12-18,2023-12-19,2024-04-02,TAKE_PROFIT_DYN,5,68,997194.14208414,279126.5464290604,27.991193956041975
51188,301020.SZ,密封科技,2024-01-17,2024-01-18,2024-03-01,TAKE_PROFIT_DYN,5,25,995084.4867163198,278431.14526128024,27.980653801575727
51238,600246.SH,万通发展,2024-01-17,2024-01-18,2024-03-05,TAKE_PROFIT_DYN,4,27,798884.5349885398,278053.53356682044,34.8052217046371
50728,300045.SZ,华力创通,2024-01-08,2024-01-09,2024-02-27,TAKE_PROFIT_DYN,4,29,795164.8531226399,277975.9075816802,34.95827393402251
52048,300321.SZ,同大股份,2024-01-22,2024-01-23,2024-03-15,TAKE_PROFIT_DYN,5,32,997515.5466276,277455.52037807996,27.81465625434124
52518,688517.SH,金冠电气,2024-01-22,2024-01-23,2024-05-28,TAKE_PROFIT_DYN,5,79,998564.8673800798,273742.8932779201,27.413631524623465
50949,603220.SH,中贝通信,2024-01-10,2024-01-11,2024-02-28,TAKE_PROFIT_DYN,4,28,796040.95585014,272895.2147730598,34.28155458177634
50008,300291.SZ,华录百纳,2023-12-22,2023-12-25,2024-03-21,TAKE_PROFIT_DYN,5,56,998787.1471577996,272568.2918151601,27.28992784806998
23708,300647.SZ,超频三,2022-03-15,2022-03-16,2022-06-14,TAKE_PROFIT_DYN,3,58,599378.42188224,271422.2130904801,45.28394803371925
51902,002452.SZ,长高集团,2024-01-22,2024-01-23,2024-05-07,TAKE_PROFIT_DYN,5,64,998641.9644201,270644.12145738,27.10121656208789
50404,300895.SZ,铜牛信息,2023-12-26,2023-12-27,2024-02-23,TAKE_PROFIT_DYN,5,35,995718.2844609,267869.84315850004,26.902171762721988
51198,301159.SZ,三维天地,2024-01-17,2024-01-18,2024-03-22,TAKE_PROFIT_DYN,5,40,990471.6806985,267167.93023206026,26.973808079363582
49348,000628.SZ,高新发展,2023-12-14,2023-12-15,2024-02-23,TAKE_PROFIT_DYN,3,43,594250.96809078,265506.8459967001,44.67924500816973
51978,002848.SZ,高斯贝尔,2024-01-22,2024-01-23,2024-03-04,TAKE_PROFIT_DYN,4,23,798730.3409085,265340.4042504601,33.22027355924077
30982,603636.SH,南威软件,2022-09-19,2022-09-20,2022-11-01,TAKE_PROFIT_DYN,4,25,797796.1650859199,265163.45011523995,33.236992319546026
51702,301318.SZ,维海德,2024-01-19,2024-01-22,2024-02-21,TAKE_PROFIT_DYN,3,16,596905.30904004,264576.4668399601,44.32469653611549
50951,603629.SH,利通电子,2024-01-10,2024-01-11,2024-03-14,TAKE_PROFIT_DYN,3,39,596081.27184606,264098.7980829001,44.30583723340071
52950,002975.SZ,博杰股份,2024-02-02,2024-02-05,2024-02-28,TAKE_PROFIT_DYN,2,11,396113.5777599,263993.0896053,66.64580676538095
52056,300400.SZ,劲拓股份,2024-01-22,2024-01-23,2024-05-22,TAKE_PROFIT_DYN,5,75,998053.22338722,263407.6531726201,26.39214492776849
52632,300286.SZ,安科瑞,2024-01-29,2024-01-30,2024-05-06,TAKE_PROFIT_DYN,5,58,996405.1489992598,262980.3850205403,26.392917106526887
50395,300780.SZ,德恩精工,2023-12-26,2023-12-27,2024-02-26,TAKE_PROFIT_DYN,5,36,996440.1931083598,262978.2828565198,26.391777918569137
52103,300688.SZ,创业黑马,2024-01-22,2024-01-23,2024-03-21,TAKE_PROFIT_DYN,4,36,795276.9942717598,262924.09521840035,33.06069421248148
24570,002715.SZ,登云股份,2022-04-15,2022-04-18,2022-05-13,TAKE_PROFIT_DYN,4,16,797185.3963273199,262079.5829880602,32.8756126486356
51162,300836.SZ,佰奥智能,2024-01-17,2024-01-18,2024-03-07,TAKE_PROFIT_DYN,5,29,994363.57932912,260856.29599920008,26.233492599879344
50577,300375.SZ,鹏翎股份,2024-01-03,2024-01-04,2024-03-13,TAKE_PROFIT_DYN,4,43,799444.2394738798,258561.19482732005,32.34261779126473
24381,600372.SH,中航电子,2022-04-11,2022-04-12,2022-06-13,TAKE_PROFIT_DYN,3,40,596558.8729900799,258054.40778040013,43.25715691512165
51175,300913.SZ,兆龙互连,2024-01-17,2024-01-18,2024-02-26,TAKE_PROFIT_DYN,4,21,796044.96089118,257806.7936076601,32.38595886833363
50039,300698.SZ,万马科技,2023-12-22,2023-12-25,2024-03-19,TAKE_PROFIT_DYN,5,54,990502.71976656,256910.91281856003,25.93742628784587
50542,300559.SZ,佳发教育,2023-12-27,2023-12-28,2024-03-20,TAKE_PROFIT_DYN,5,52,997596.64870866,256263.62270454015,25.688099798276276
52376,603108.SH,润达医疗,2024-01-22,2024-01-23,2024-03-04,TAKE_PROFIT_DYN,4,23,796660.73595108,256050.0293590799,32.1404103157411
52503,688177.SH,百奥泰,2024-01-22,2024-01-23,2024-03-14,TAKE_PROFIT_DYN,4,31,796526.5670762399,255315.72877272044,32.0536362911148
52017,300042.SZ,朗科科技,2024-01-22,2024-01-23,2024-03-01,TAKE_PROFIT_DYN,4,22,798672.2678134199,254820.12001182025,31.905467396465237
52401,603286.SH,日盈电子,2024-01-22,2024-01-23,2024-03-14,TAKE_PROFIT_DYN,4,31,797173.3812041999,254441.3157514803,31.917939277792307
51672,300380.SZ,安硕信息,2024-01-19,2024-01-22,2024-03-20,TAKE_PROFIT_DYN,5,36,994586.8603670998,254054.6083528204,25.54373262673603
50036,300657.SZ,弘信电子,2023-12-22,2023-12-25,2024-03-22,TAKE_PROFIT_DYN,5,57,997334.31852054,253800.75561786024,25.447911588398153
50396,300785.SZ,值得买,2023-12-26,2023-12-27,2024-02-27,TAKE_PROFIT_DYN,5,37,997366.35884886,252940.17545874033,25.360808815596982
50513,688327.SH,云从科技,2023-12-26,2023-12-27,2024-03-01,TAKE_PROFIT_DYN,4,40,797790.1575243599,251991.76939596023,31.586221892975143
17086,300421.SZ,力星股份,2021-09-29,2021-09-30,2021-11-04,TAKE_PROFIT_DYN,3,20,597771.3991649398,250059.23652006025,41.8319171625444
50849,688182.SH,灿勤科技,2024-01-08,2024-01-09,2024-03-29,TAKE_PROFIT_DYN,5,52,995323.78791846,249793.89091866,25.096746802471063
52414,603356.SH,华菱精工,2024-01-22,2024-01-23,2024-03-12,TAKE_PROFIT_DYN,4,29,798072.51291768,249525.26321976015,31.26598888959584
52378,603111.SH,康尼机电,2024-01-22,2024-01-23,2024-02-26,TAKE_PROFIT_DYN,4,18,799184.9130665398,249514.9208699403,31.221175073554697
23318,300046.SZ,台基股份,2022-03-14,2022-03-15,2022-05-13,TAKE_PROFIT_DYN,5,38,995913.5302116,249103.93270176032,25.012606531094487
49783,300475.SZ,聚隆科技,2023-12-20,2023-12-21,2024-03-04,TAKE_PROFIT_DYN,5,45,993780.8458578,248789.3225598,25.034626456807285
52526,688597.SH,煜邦电力,2024-01-22,2024-01-23,2024-03-19,TAKE_PROFIT_DYN,4,34,798081.5242600199,247290.17498262017,30.98557822296504
52073,300499.SZ,高澜股份,2024-01-22,2024-01-23,2024-03-04,TAKE_PROFIT_DYN,3,23,598205.9461177799,246814.83962982008,41.2591752441767
50033,300620.SZ,光库科技,2023-12-22,2023-12-25,2024-03-05,TAKE_PROFIT_DYN,3,44,592633.9327708799,246551.1374937601,41.60260219002343
48926,300067.SZ,安诺其,2023-12-08,2023-12-11,2024-02-21,TAKE_PROFIT_DYN,5,45,999612.18561204,246395.92398300025,24.64915169397796
22719,300969.SZ,恒帅股份,2022-03-08,2022-03-09,2022-05-24,TAKE_PROFIT_DYN,4,49,789185.32684992,244223.1877125601,30.94624030674663
52039,300241.SZ,瑞丰光电,2024-01-22,2024-01-23,2024-05-21,TAKE_PROFIT_DYN,5,74,999591.15914658,244191.8717944203,24.429174824125475
50941,600133.SH,东湖高新,2024-01-10,2024-01-11,2024-03-04,TAKE_PROFIT_DYN,4,31,798405.9325842599,244107.80336250016,30.57439748379352
22153,002920.SZ,德赛西威,2022-02-09,2022-02-10,2022-06-01,TAKE_PROFIT_DYN,5,74,970540.59396294,242343.61393085995,24.96996163151871
42563,688127.SH,蓝特光学,2023-07-24,2023-07-25,2023-10-13,TAKE_PROFIT_DYN,4,52,797548.8538016999,240850.13373234007,30.198793789781348
9765,600331.SH,宏达股份,2021-01-29,2021-02-01,2021-02-23,TAKE_PROFIT_DYN,3,11,599838.00034158,240790.93892874,40.14266165058243
52167,301231.SZ,荣信文化,2024-01-22,2024-01-23,2024-03-20,TAKE_PROFIT_DYN,4,35,798303.80403774,240720.08221206,30.153944024132436
55493,301231.SZ,荣信文化,2024-04-16,2024-04-17,2024-06-27,TAKE_PROFIT_DYN,3,47,596320.5730481999,240285.0430926002,40.294608965835266
50932,301270.SZ,汉仪股份,2024-01-10,2024-01-11,2024-03-20,TAKE_PROFIT_DYN,3,43,596208.4318990799,238908.80726856005,40.071356674304816
51199,301199.SZ,迈赫股份,2024-01-17,2024-01-18,2024-02-27,TAKE_PROFIT_DYN,5,22,994617.89943516,238824.3554730001,24.011668763313793
58970,600285.SH,羚锐制药,2024-07-17,2024-07-18,2024-10-08,TAKE_PROFIT_DYN,5,51,994810.14140508,238743.9164681998,23.99894276620416
51129,300278.SZ,华昌达,2024-01-17,2024-01-18,2024-02-26,TAKE_PROFIT_DYN,5,21,999766.3796920798,237844.52862984024,23.790010692607456
50950,603496.SH,恒为科技,2024-01-10,2024-01-11,2024-02-26,TAKE_PROFIT_DYN,4,26,798647.23630692,237808.17646740004,29.77637255305175
47858,002792.SZ,通宇通讯,2023-11-28,2023-11-29,2024-03-20,TAKE_PROFIT_DYN,5,73,996868.73249964,237334.18186764023,23.807967301023353
51918,002534.SZ,杭锅股份,2024-01-22,2024-01-23,2024-05-06,TAKE_PROFIT_DYN,5,63,997498.5252031798,237279.3758418602,23.787441269001267
50812,603009.SH,北特科技,2024-01-08,2024-01-09,2024-02-26,TAKE_PROFIT_DYN,5,28,997396.39665666,237070.0532712601,23.76889008882877
51484,301068.SZ,大地海洋,2024-01-18,2024-01-19,2024-03-14,TAKE_PROFIT_DYN,5,33,995645.19246192,236932.5859480801,23.79688946844806
23378,600421.SH,华嵘控股,2022-03-14,2022-03-15,2022-06-27,TAKE_PROFIT_DYN,4,68,798890.5425500999,236848.6955957401,29.647202336343454
49946,000915.SZ,华特达因,2023-12-22,2023-12-25,2024-03-18,TAKE_PROFIT_DYN,5,53,996687.50439258,235892.27049894023,23.667625956914367
50927,300552.SZ,万集科技,2024-01-10,2024-01-11,2024-03-07,TAKE_PROFIT_DYN,4,34,795244.9539434399,235758.06779976023,29.64596840642488
52556,300902.SZ,国安达,2024-01-23,2024-01-24,2024-04-01,TAKE_PROFIT_DYN,5,42,991008.35619786,235742.69089602027,23.788163785064295
49497,300025.SZ,华星创业,2023-12-18,2023-12-19,2024-03-11,TAKE_PROFIT_DYN,5,52,998135.32672854,234492.36371945997,23.49304322170677
52037,300235.SZ,方直科技,2024-01-22,2024-01-23,2024-03-20,TAKE_PROFIT_DYN,4,35,798236.7196003199,234059.0239270801,29.32200664037033
49930,688418.SH,震有科技,2023-12-21,2023-12-22,2024-03-04,TAKE_PROFIT_DYN,5,44,996113.7822635998,233667.9237776401,23.457955098929148
51460,300809.SZ,华辰装备,2024-01-18,2024-01-19,2024-02-26,TAKE_PROFIT_DYN,4,20,797359.61561256,233653.38853824025,29.303388830238084
50047,301191.SZ,菲菱科思,2023-12-22,2023-12-25,2024-02-22,TAKE_PROFIT_DYN,5,36,978519.63697488,233438.48029656,23.856289794882542
24521,000733.SZ,振华科技,2022-04-14,2022-04-15,2022-06-02,TAKE_PROFIT_DYN,4,31,792300.24751878,232504.74415872,29.345534711979116
52555,300808.SZ,久量股份,2024-01-23,2024-01-24,2024-03-14,TAKE_PROFIT_DYN,3,30,598951.88501148,232263.23102532,38.77827866271233
23249,300586.SZ,美联新材,2022-03-09,2022-03-11,2022-06-01,TAKE_PROFIT_DYN,5,53,998860.23915678,231195.09582162008,23.14589036167771
52422,603516.SH,淳中科技,2024-01-22,2024-01-23,2024-02-26,TAKE_PROFIT_DYN,3,18,597508.06771656,230380.9101079201,38.556953881534184
51634,002418.SZ,康盛股份,2024-01-19,2024-01-22,2024-03-04,TAKE_PROFIT_DYN,4,24,799822.7158521599,230190.05105711997,28.780134209099977
52883,688716.SH,中研股份,2024-01-31,2024-02-01,2024-03-14,TAKE_PROFIT_DYN,3,24,597238.7287066199,230119.18503354013,38.53051953477401
52850,601599.SH,鹿港文化,2024-01-31,2024-02-01,2024-03-22,TAKE_PROFIT_DYN,3,30,599580.6764547599,229832.61501024012,38.33222517596957
54407,000859.SZ,国风新材,2024-04-15,2024-04-16,2024-06-13,TAKE_PROFIT_DYN,4,38,799560.3856640399,229583.91178404016,28.713767702907056
51375,002272.SZ,川润股份,2024-01-18,2024-01-19,2024-03-05,TAKE_PROFIT_DYN,4,26,798906.56271426,228795.27683562005,28.63855268109143
50643,300538.SZ,同益股份,2024-01-05,2024-01-08,2024-03-20,TAKE_PROFIT_DYN,4,46,797723.07308694,228009.23744346015,28.58250502409757
52530,688678.SH,福立旺,2024-01-22,2024-01-23,2024-05-06,TAKE_PROFIT_DYN,4,63,797446.7252551799,227946.18341682025,28.584503039231663
51278,603002.SH,宏昌电子,2024-01-17,2024-01-18,2024-03-05,TAKE_PROFIT_DYN,5,27,999456.99027174,227888.01007434004,22.801182271223112
52867,603729.SH,龙韵股份,2024-01-31,2024-02-01,2024-03-15,TAKE_PROFIT_DYN,3,25,597410.94547134,227455.3593318601,38.07351724237399
51306,688092.SH,爱科科技,2024-01-17,2024-01-18,2024-03-06,TAKE_PROFIT_DYN,5,28,993919.01977368,227243.87554572025,22.863419556803
48878,002685.SZ,华东重机,2023-12-08,2023-12-11,2024-02-28,TAKE_PROFIT_DYN,5,50,999740.34692532,226961.78637132025,22.702073300266058
50819,603278.SH,大业股份,2024-01-08,2024-01-09,2024-03-21,TAKE_PROFIT_DYN,4,46,797920.3213581599,226650.03692760016,28.405096456474944
48660,300506.SZ,名家汇,2023-12-07,2023-12-08,2024-03-12,TAKE_PROFIT_DYN,5,60,998672.0022279,226648.56585689983,22.694995489137376
51202,301251.SZ,威尔高,2024-01-17,2024-01-18,2024-03-20,TAKE_PROFIT_DYN,5,38,992182.8344828398,226106.12568852023,22.78875604680005
52066,300459.SZ,金科文化,2024-01-22,2024-01-23,2024-03-21,TAKE_PROFIT_DYN,3,36,599412.4647310799,225927.0061923602,37.69140941934199
51093,002664.SZ,长鹰信质,2024-01-17,2024-01-18,2024-03-13,TAKE_PROFIT_DYN,5,33,997042.95178488,225494.52106104,22.616329683426944
52646,300998.SZ,宁波方正,2024-01-29,2024-01-30,2024-03-15,TAKE_PROFIT_DYN,4,27,796402.410804,225421.787151,28.30501064448407
23699,300585.SZ,奥联电子,2022-03-15,2022-03-16,2022-05-11,TAKE_PROFIT_DYN,3,35,598972.9114769399,225091.52739486017,37.57958383123409
49928,688166.SH,博瑞医药,2023-12-21,2023-12-22,2024-02-28,TAKE_PROFIT_DYN,5,41,993890.9844864,224960.98347360012,22.63437207752219
51703,301319.SZ,唯特偶,2024-01-19,2024-01-22,2024-03-21,TAKE_PROFIT_DYN,4,37,792059.94505638,224221.02195833996,28.30859246927069
37794,002146.SZ,荣盛发展,2023-03-20,2023-03-21,2023-06-16,TAKE_PROFIT_DYN,5,59,1000026.70735968,224149.93611480028,22.41439498217123
22601,002793.SZ,东音股份,2022-03-08,2022-03-09,2022-05-10,TAKE_PROFIT_DYN,5,39,998384.64053328,222850.66170672,22.321122807707255
52958,600162.SH,香江控股,2024-02-02,2024-02-05,2024-05-17,TAKE_PROFIT_DYN,5,63,999932.58889524,222696.7221006001,22.271173534472275
52122,300825.SZ,阿尔特,2024-01-22,2024-01-23,2024-03-15,TAKE_PROFIT_DYN,3,32,598991.9354218799,221754.6297648002,37.021304737369256
52107,300716.SZ,国立科技,2024-01-22,2024-01-23,2024-04-02,TAKE_PROFIT_DYN,5,44,998979.38912772,221614.50895848032,22.184092221561023
50583,301128.SZ,强瑞技术,2024-01-03,2024-01-04,2024-03-04,TAKE_PROFIT_DYN,5,36,994000.12185474,221601.5741907002,22.293918211720737
50645,300637.SZ,扬帆新材,2024-01-05,2024-01-08,2024-03-19,TAKE_PROFIT_DYN,4,45,799274.0252296799,221441.12724096017,27.70528257531285
52725,301171.SZ,易点天下,2024-01-30,2024-01-31,2024-02-20,TAKE_PROFIT_DYN,3,8,598288.0494591,220944.18449466,36.92939959178712
50003,300270.SZ,中威电子,2023-12-22,2023-12-25,2024-02-26,TAKE_PROFIT_DYN,5,38,999521.07092838,220634.59946417995,22.07403184199499
21020,002016.SZ,世荣兆业,2022-01-25,2022-01-26,2022-03-29,TAKE_PROFIT_DYN,5,39,999516.06462708,219998.13393942025,22.01046503654763
52236,600379.SH,宝光股份,2024-01-22,2024-01-23,2024-04-19,TAKE_PROFIT_DYN,5,55,998344.5901228798,219836.56004640053,22.02010830943074
50171,002343.SZ,慈文传媒,2023-12-25,2023-12-26,2024-03-01,TAKE_PROFIT_DYN,5,41,998736.08288454,219699.61867854,21.9977652198172
19099,300363.SZ,博腾股份,2021-12-20,2021-12-21,2022-03-11,TAKE_PROFIT_DYN,4,52,786041.3696335199,219645.9017611202,27.94330047329784
