feature_name,family,source,formula,lookback,PIT,missing_policy,missing_rate
turnover_rank,CROSS_SECTIONAL,SIGW,信号日全市场成交额排名分位（主线冻结）,1,信号日收盘已知,同 bb_z,TBD(构建后填充)
signal_role,SIGNAL_STATE,SIGW/MLBB,NEW_ENTRY / ADD_ON_1..4（分类，one-hot 输入）,,信号日已知,无缺失,TBD(构建后填充)
level_no,SIGNAL_STATE,MLBB,加仓层号,,信号日已知,无缺失,TBD(构建后填充)
days_since_first_signal,SIGNAL_STATE,MLBB,距该 episode 首次信号的交易日数,,信号日已知,同 bb_z,TBD(构建后填充)
signal_count_last_20d,SIGNAL_STATE,MLBB,过去 20 日该股 BB 信号次数,20,<= 信号日窗口,同 bb_z,TBD(构建后填充)
daily_bb_signal_count,MARKET_CONTEXT,MLBB,信号日全市场 BB 下轨信号数,1,信号日收盘已知,同 bb_z,TBD(构建后填充)
daily_bb_up_ratio,MARKET_CONTEXT,CALC,信号日全市场 close_adj>bb_upper 占比（BB20/2 主线口径，Phase 1 新增）,20,只用当日及以前数据重算,同 bb_z,TBD(构建后填充)
daily_bb_down_ratio,MARKET_CONTEXT,CALC,信号日全市场 close_adj<bb_lower 占比（BB20/2 主线口径，Phase 1 新增）,20,只用当日及以前数据重算,同 bb_z,TBD(构建后填充)
market_up_ratio,MARKET_CONTEXT,MLBB,信号日全市场上涨占比（主线口径）,1,信号日收盘已知,同 bb_z,TBD(构建后填充)
market_down_ratio,MARKET_CONTEXT,MLBB,信号日全市场下跌占比（主线口径）,1,信号日收盘已知,同 bb_z,TBD(构建后填充)
csi300_ret_1,MARKET_CONTEXT,IDX,沪深300 指数 1 日收益(%),1,<= 信号日收盘,同 bb_z,TBD(构建后填充)
csi300_ret_5,MARKET_CONTEXT,IDX,沪深300 指数 5 日收益(%),5,<= 信号日收盘,同 bb_z,TBD(构建后填充)
csi300_ret_20,MARKET_CONTEXT,IDX,沪深300 指数 20 日收益(%),20,<= 信号日收盘,同 bb_z,TBD(构建后填充)
csi500_ret_1,MARKET_CONTEXT,IDX,中证500 指数 1 日收益(%)（Phase 1 新增）,1,<= 信号日收盘,同 bb_z,TBD(构建后填充)
csi500_ret_5,MARKET_CONTEXT,IDX,中证500 指数 5 日收益(%)（Phase 1 新增）,5,<= 信号日收盘,同 bb_z,TBD(构建后填充)
csi500_ret_20,MARKET_CONTEXT,IDX,中证500 指数 20 日收益(%)（Phase 1 新增）,20,<= 信号日收盘,同 bb_z,TBD(构建后填充)
csi1000_ret_1,MARKET_CONTEXT,IDX,中证1000 指数 1 日收益(%)（Phase 1 新增）,1,<= 信号日收盘,同 bb_z,TBD(构建后填充)
csi1000_ret_5,MARKET_CONTEXT,IDX,中证1000 指数 5 日收益(%),5,<= 信号日收盘,同 bb_z,TBD(构建后填充)
csi1000_ret_20,MARKET_CONTEXT,IDX,中证1000 指数 20 日收益(%),20,<= 信号日收盘,同 bb_z,TBD(构建后填充)
stock_ret_5_minus_industry,INDUSTRY_RELATIVE,UNAVAILABLE,个股 5 日收益 - 同行业均值 5 日收益：无 PIT 行业面板（SIGPATH industry_snapshot 仅信号日快照，非历史 PIT 面板，禁止回算历史行业收益）,5,N/A,N/A,TBD(构建后填充)
stock_ret_20_minus_industry,INDUSTRY_RELATIVE,UNAVAILABLE,个股 20 日收益 - 同行业均值 20 日收益：同上,20,N/A,N/A,TBD(构建后填充)
