request_index,generator,formula,canonical_expression,expression_hash,family,expected_direction,lookback,status
50,TEMPLATE,"max(bb_z,atr14_pct)","max(atr14_pct,bb_z)",1e5d8fd920d14130,BB_CONDITIONAL,NA,NA,PROPOSED
51,TEMPLATE,"ratio(bb_z,bb_width)","ratio(bb_z,bb_width)",46102eb043204664,BB_CONDITIONAL,NA,NA,PROPOSED
52,TEMPLATE,"diff(bb_z,bb_width)","diff(bb_z,bb_width)",dfc68d361df1180a,BB_CONDITIONAL,NA,NA,PROPOSED
53,TEMPLATE,"interaction(bb_z,bb_width)","interaction(bb_width,bb_z)",07f7cf2081696f06,BB_CONDITIONAL,NA,NA,PROPOSED
54,TEMPLATE,"min(bb_z,bb_width)","min(bb_width,bb_z)",9f053a006a2e50bd,BB_CONDITIONAL,NA,NA,PROPOSED
55,TEMPLATE,"max(bb_z,bb_width)","max(bb_width,bb_z)",8872efa89cb03bea,BB_CONDITIONAL,NA,NA,PROPOSED
56,TEMPLATE,"ratio(bb_z,drawdown_20)","ratio(bb_z,drawdown_20)",67fe959681ac6d98,BB_CONDITIONAL,NA,NA,PROPOSED
57,TEMPLATE,"diff(bb_z,drawdown_20)","diff(bb_z,drawdown_20)",2cccd2f68b337852,BB_CONDITIONAL,NA,NA,PROPOSED
58,TEMPLATE,"interaction(bb_z,drawdown_20)","interaction(bb_z,drawdown_20)",b5d62832fc4cfbea,BB_CONDITIONAL,NA,NA,PROPOSED
59,TEMPLATE,"min(bb_z,drawdown_20)","min(bb_z,drawdown_20)",185025e170f04daa,BB_CONDITIONAL,NA,NA,PROPOSED
60,TEMPLATE,"max(bb_z,drawdown_20)","max(bb_z,drawdown_20)",f2435535512c0144,BB_CONDITIONAL,NA,NA,PROPOSED
61,TEMPLATE,"ratio(bb_z,distance_52w_high)","ratio(bb_z,distance_52w_high)",996d44672700cd9b,BB_CONDITIONAL,NA,NA,PROPOSED
62,TEMPLATE,"diff(bb_z,distance_52w_high)","diff(bb_z,distance_52w_high)",67a6b68c48632899,BB_CONDITIONAL,NA,NA,PROPOSED
63,TEMPLATE,"interaction(bb_z,distance_52w_high)","interaction(bb_z,distance_52w_high)",87c7dfefbecc3532,BB_CONDITIONAL,NA,NA,PROPOSED
64,TEMPLATE,"min(bb_z,distance_52w_high)","min(bb_z,distance_52w_high)",3aad502d63a969e3,BB_CONDITIONAL,NA,NA,PROPOSED
65,TEMPLATE,"max(bb_z,distance_52w_high)","max(bb_z,distance_52w_high)",b8ea44b935608d01,BB_CONDITIONAL,NA,NA,PROPOSED
66,TEMPLATE,"ratio(bb_z,log_amount)","ratio(bb_z,log_amount)",b696be5584408e84,BB_CONDITIONAL,NA,NA,PROPOSED
67,TEMPLATE,"diff(bb_z,log_amount)","diff(bb_z,log_amount)",4f23a990fa8bb681,BB_CONDITIONAL,NA,NA,PROPOSED
68,TEMPLATE,"interaction(bb_z,log_amount)","interaction(bb_z,log_amount)",26c07482aa185c9a,BB_CONDITIONAL,NA,NA,PROPOSED
69,TEMPLATE,"min(bb_z,log_amount)","min(bb_z,log_amount)",461972531df201b8,BB_CONDITIONAL,NA,NA,PROPOSED
70,TEMPLATE,"max(bb_z,log_amount)","max(bb_z,log_amount)",d5d09acb32197af7,BB_CONDITIONAL,NA,NA,PROPOSED
71,TEMPLATE,"ratio(bb_z,amount_ratio_5_20)","ratio(bb_z,amount_ratio_5_20)",faedafdf093cb6ce,BB_CONDITIONAL,NA,NA,PROPOSED
72,TEMPLATE,"diff(bb_z,amount_ratio_5_20)","diff(bb_z,amount_ratio_5_20)",38c9a1ecc3757fef,BB_CONDITIONAL,NA,NA,PROPOSED
73,TEMPLATE,"interaction(bb_z,amount_ratio_5_20)","interaction(amount_ratio_5_20,bb_z)",0b7ce1c07d76071a,BB_CONDITIONAL,NA,NA,PROPOSED
74,TEMPLATE,"min(bb_z,amount_ratio_5_20)","min(amount_ratio_5_20,bb_z)",99c7794528a006e1,BB_CONDITIONAL,NA,NA,PROPOSED
75,TEMPLATE,"max(bb_z,amount_ratio_5_20)","max(amount_ratio_5_20,bb_z)",bffe50416fce2cf4,BB_CONDITIONAL,NA,NA,PROPOSED
76,TEMPLATE,"ratio(bb_z,turnover_rank)","ratio(bb_z,turnover_rank)",c4c83c7dbc4ffeeb,BB_CONDITIONAL,NA,NA,PROPOSED
77,TEMPLATE,"diff(bb_z,turnover_rank)","diff(bb_z,turnover_rank)",9a5fd9ca983eaf05,BB_CONDITIONAL,NA,NA,PROPOSED
78,TEMPLATE,"min(bb_z,turnover_rank)","min(bb_z,turnover_rank)",178a50fc726cbf96,BB_CONDITIONAL,NA,NA,PROPOSED
79,TEMPLATE,"max(bb_z,turnover_rank)","max(bb_z,turnover_rank)",78e2f0da2e46dfe5,BB_CONDITIONAL,NA,NA,PROPOSED
80,TEMPLATE,"ratio(bb_z,daily_bb_signal_count)","ratio(bb_z,daily_bb_signal_count)",3cd229f8960795c2,BB_CONDITIONAL,NA,NA,PROPOSED
81,TEMPLATE,"diff(bb_z,daily_bb_signal_count)","diff(bb_z,daily_bb_signal_count)",3783f5313d135588,BB_CONDITIONAL,NA,NA,PROPOSED
82,TEMPLATE,"min(bb_z,daily_bb_signal_count)","min(bb_z,daily_bb_signal_count)",a52438a80130f2d4,BB_CONDITIONAL,NA,NA,PROPOSED
83,TEMPLATE,"max(bb_z,daily_bb_signal_count)","max(bb_z,daily_bb_signal_count)",34ebbc1ff36af88a,BB_CONDITIONAL,NA,NA,PROPOSED
84,TEMPLATE,"ratio(bb_z,market_up_ratio)","ratio(bb_z,market_up_ratio)",b393e0871713a4c8,BB_CONDITIONAL,NA,NA,PROPOSED
85,TEMPLATE,"diff(bb_z,market_up_ratio)","diff(bb_z,market_up_ratio)",d34f1f28af9984f3,BB_CONDITIONAL,NA,NA,PROPOSED
86,TEMPLATE,"min(bb_z,market_up_ratio)","min(bb_z,market_up_ratio)",897ad673e7ee07b5,BB_CONDITIONAL,NA,NA,PROPOSED
87,TEMPLATE,"max(bb_z,market_up_ratio)","max(bb_z,market_up_ratio)",987a3680a90109fd,BB_CONDITIONAL,NA,NA,PROPOSED
88,TEMPLATE,"ratio(bb_z,csi300_ret_5)","ratio(bb_z,csi300_ret_5)",0cb28f8f3998527d,BB_CONDITIONAL,NA,NA,PROPOSED
89,TEMPLATE,"diff(bb_z,csi300_ret_5)","diff(bb_z,csi300_ret_5)",04486c089d5707b4,BB_CONDITIONAL,NA,NA,PROPOSED
90,TEMPLATE,"interaction(bb_z,csi300_ret_5)","interaction(bb_z,csi300_ret_5)",26541dda28e68c63,BB_CONDITIONAL,NA,NA,PROPOSED
91,TEMPLATE,"min(bb_z,csi300_ret_5)","min(bb_z,csi300_ret_5)",af42b231b26deedb,BB_CONDITIONAL,NA,NA,PROPOSED
92,TEMPLATE,"max(bb_z,csi300_ret_5)","max(bb_z,csi300_ret_5)",5c44c4faaf98dee0,BB_CONDITIONAL,NA,NA,PROPOSED
93,TEMPLATE,"ratio(bb_z,csi500_ret_5)","ratio(bb_z,csi500_ret_5)",d0b7e7b9ea04855b,BB_CONDITIONAL,NA,NA,PROPOSED
94,TEMPLATE,"diff(bb_z,csi500_ret_5)","diff(bb_z,csi500_ret_5)",bb8ec0fa70df3d6f,BB_CONDITIONAL,NA,NA,PROPOSED
95,TEMPLATE,"interaction(bb_z,csi500_ret_5)","interaction(bb_z,csi500_ret_5)",c08a5734eb156e9f,BB_CONDITIONAL,NA,NA,PROPOSED
96,TEMPLATE,"min(bb_z,csi500_ret_5)","min(bb_z,csi500_ret_5)",b0667bef050e2a3c,BB_CONDITIONAL,NA,NA,PROPOSED
97,TEMPLATE,"max(bb_z,csi500_ret_5)","max(bb_z,csi500_ret_5)",4041d353287acce3,BB_CONDITIONAL,NA,NA,PROPOSED
98,TEMPLATE,"ratio(bb_z,gap_pct)","ratio(bb_z,gap_pct)",e6ac070ecbb4b10d,BB_CONDITIONAL,NA,NA,PROPOSED
99,TEMPLATE,"diff(bb_z,gap_pct)","diff(bb_z,gap_pct)",f58e6e1e4c95e04b,BB_CONDITIONAL,NA,NA,PROPOSED
100,TEMPLATE,"interaction(bb_z,gap_pct)","interaction(bb_z,gap_pct)",1bc17cc2614cbae4,BB_CONDITIONAL,NA,NA,PROPOSED
101,TEMPLATE,"min(bb_z,gap_pct)","min(bb_z,gap_pct)",8c77077ca125c7fe,BB_CONDITIONAL,NA,NA,PROPOSED
102,TEMPLATE,"max(bb_z,gap_pct)","max(bb_z,gap_pct)",76fc2c66dd45afdc,BB_CONDITIONAL,NA,NA,PROPOSED
103,TEMPLATE,"ratio(distance_to_lower_band,ret_5d)","ratio(distance_to_lower_band,ret_5d)",e687f0ea03cdc974,BB_CONDITIONAL,NA,NA,PROPOSED
104,TEMPLATE,"diff(distance_to_lower_band,ret_5d)","diff(distance_to_lower_band,ret_5d)",830866afb3a4fc13,BB_CONDITIONAL,NA,NA,PROPOSED
105,TEMPLATE,"interaction(distance_to_lower_band,ret_5d)","interaction(distance_to_lower_band,ret_5d)",7c79f64451143b79,BB_CONDITIONAL,NA,NA,PROPOSED
106,TEMPLATE,"min(distance_to_lower_band,ret_5d)","min(distance_to_lower_band,ret_5d)",27190575c437f65b,BB_CONDITIONAL,NA,NA,PROPOSED
107,TEMPLATE,"max(distance_to_lower_band,ret_5d)","max(distance_to_lower_band,ret_5d)",1377cdf37b24562d,BB_CONDITIONAL,NA,NA,PROPOSED
108,TEMPLATE,"ratio(distance_to_lower_band,ret_20d)","ratio(distance_to_lower_band,ret_20d)",4b3eef3225b8357b,BB_CONDITIONAL,NA,NA,PROPOSED
109,TEMPLATE,"diff(distance_to_lower_band,ret_20d)","diff(distance_to_lower_band,ret_20d)",199f66874fe413bf,BB_CONDITIONAL,NA,NA,PROPOSED
110,TEMPLATE,"interaction(distance_to_lower_band,ret_20d)","interaction(distance_to_lower_band,ret_20d)",2ee911f8008ec176,BB_CONDITIONAL,NA,NA,PROPOSED
111,TEMPLATE,"min(distance_to_lower_band,ret_20d)","min(distance_to_lower_band,ret_20d)",38f2f95a445163f9,BB_CONDITIONAL,NA,NA,PROPOSED
112,TEMPLATE,"max(distance_to_lower_band,ret_20d)","max(distance_to_lower_band,ret_20d)",a09becb2d9a5a9bf,BB_CONDITIONAL,NA,NA,PROPOSED
113,TEMPLATE,"ratio(distance_to_lower_band,atr14_pct)","ratio(distance_to_lower_band,atr14_pct)",401c6baafd0dd07b,BB_CONDITIONAL,NA,NA,PROPOSED
114,TEMPLATE,"diff(distance_to_lower_band,atr14_pct)","diff(distance_to_lower_band,atr14_pct)",71f03c22145cf43d,BB_CONDITIONAL,NA,NA,PROPOSED
115,TEMPLATE,"interaction(distance_to_lower_band,atr14_pct)","interaction(atr14_pct,distance_to_lower_band)",1b28fe41b5a62c5d,BB_CONDITIONAL,NA,NA,PROPOSED
116,TEMPLATE,"min(distance_to_lower_band,atr14_pct)","min(atr14_pct,distance_to_lower_band)",57506517aa0c5ad9,BB_CONDITIONAL,NA,NA,PROPOSED
117,TEMPLATE,"max(distance_to_lower_band,atr14_pct)","max(atr14_pct,distance_to_lower_band)",b7680a340776f46a,BB_CONDITIONAL,NA,NA,PROPOSED
118,TEMPLATE,"diff(distance_to_lower_band,bb_width)","diff(distance_to_lower_band,bb_width)",daac6d3c407525df,BB_CONDITIONAL,NA,NA,PROPOSED
119,TEMPLATE,"interaction(distance_to_lower_band,bb_width)","interaction(bb_width,distance_to_lower_band)",174d3969130637de,BB_CONDITIONAL,NA,NA,PROPOSED
120,TEMPLATE,"min(distance_to_lower_band,bb_width)","min(bb_width,distance_to_lower_band)",57a08c480c77b3dc,BB_CONDITIONAL,NA,NA,PROPOSED
121,TEMPLATE,"max(distance_to_lower_band,bb_width)","max(bb_width,distance_to_lower_band)",7ac659370aca60d6,BB_CONDITIONAL,NA,NA,PROPOSED
122,TEMPLATE,"ratio(distance_to_lower_band,drawdown_20)","ratio(distance_to_lower_band,drawdown_20)",549b391794456e14,BB_CONDITIONAL,NA,NA,PROPOSED
123,TEMPLATE,"diff(distance_to_lower_band,drawdown_20)","diff(distance_to_lower_band,drawdown_20)",3915140489d033ab,BB_CONDITIONAL,NA,NA,PROPOSED
124,TEMPLATE,"interaction(distance_to_lower_band,drawdown_20)","interaction(distance_to_lower_band,drawdown_20)",4676e0ee507e5aa9,BB_CONDITIONAL,NA,NA,PROPOSED
125,TEMPLATE,"min(distance_to_lower_band,drawdown_20)","min(distance_to_lower_band,drawdown_20)",268c2f95c0dee7e0,BB_CONDITIONAL,NA,NA,PROPOSED
126,TEMPLATE,"max(distance_to_lower_band,drawdown_20)","max(distance_to_lower_band,drawdown_20)",6ec8786a14bf1140,BB_CONDITIONAL,NA,NA,PROPOSED
127,TEMPLATE,"ratio(distance_to_lower_band,distance_52w_high)","ratio(distance_to_lower_band,distance_52w_high)",23ec334756067f40,BB_CONDITIONAL,NA,NA,PROPOSED
128,TEMPLATE,"diff(distance_to_lower_band,distance_52w_high)","diff(distance_to_lower_band,distance_52w_high)",739c630a31d3116f,BB_CONDITIONAL,NA,NA,PROPOSED
129,TEMPLATE,"interaction(distance_to_lower_band,distance_52w_high)","interaction(distance_52w_high,distance_to_lower_band)",45576d3a41fd60ed,BB_CONDITIONAL,NA,NA,PROPOSED
130,TEMPLATE,"min(distance_to_lower_band,distance_52w_high)","min(distance_52w_high,distance_to_lower_band)",18d763918a5e30f1,BB_CONDITIONAL,NA,NA,PROPOSED
131,TEMPLATE,"max(distance_to_lower_band,distance_52w_high)","max(distance_52w_high,distance_to_lower_band)",11750d48335abd0f,BB_CONDITIONAL,NA,NA,PROPOSED
132,TEMPLATE,"ratio(distance_to_lower_band,log_amount)","ratio(distance_to_lower_band,log_amount)",dcf55f69807340aa,BB_CONDITIONAL,NA,NA,PROPOSED
133,TEMPLATE,"diff(distance_to_lower_band,log_amount)","diff(distance_to_lower_band,log_amount)",6e943fa7c7b09081,BB_CONDITIONAL,NA,NA,PROPOSED
134,TEMPLATE,"interaction(distance_to_lower_band,log_amount)","interaction(distance_to_lower_band,log_amount)",4a8cbfadcadeb612,BB_CONDITIONAL,NA,NA,PROPOSED
135,TEMPLATE,"min(distance_to_lower_band,log_amount)","min(distance_to_lower_band,log_amount)",e1bc2c3ddc1c5e9c,BB_CONDITIONAL,NA,NA,PROPOSED
136,TEMPLATE,"max(distance_to_lower_band,log_amount)","max(distance_to_lower_band,log_amount)",7ca4e5389f92b98b,BB_CONDITIONAL,NA,NA,PROPOSED
137,TEMPLATE,"ratio(distance_to_lower_band,amount_ratio_5_20)","ratio(distance_to_lower_band,amount_ratio_5_20)",0796bae587d90312,BB_CONDITIONAL,NA,NA,PROPOSED
138,TEMPLATE,"diff(distance_to_lower_band,amount_ratio_5_20)","diff(distance_to_lower_band,amount_ratio_5_20)",3277b4bf4436c9c1,BB_CONDITIONAL,NA,NA,PROPOSED
139,TEMPLATE,"min(distance_to_lower_band,amount_ratio_5_20)","min(amount_ratio_5_20,distance_to_lower_band)",5d31aa29ecfc2571,BB_CONDITIONAL,NA,NA,PROPOSED
140,TEMPLATE,"max(distance_to_lower_band,amount_ratio_5_20)","max(amount_ratio_5_20,distance_to_lower_band)",1b80c047837b3b5d,BB_CONDITIONAL,NA,NA,PROPOSED
141,TEMPLATE,"ratio(distance_to_lower_band,turnover_rank)","ratio(distance_to_lower_band,turnover_rank)",e731a35e5b6aea2f,BB_CONDITIONAL,NA,NA,PROPOSED
142,TEMPLATE,"diff(distance_to_lower_band,turnover_rank)","diff(distance_to_lower_band,turnover_rank)",5118a9f1856a4c77,BB_CONDITIONAL,NA,NA,PROPOSED
143,TEMPLATE,"interaction(distance_to_lower_band,turnover_rank)","interaction(distance_to_lower_band,turnover_rank)",bd166ec9aa048762,BB_CONDITIONAL,NA,NA,PROPOSED
144,TEMPLATE,"min(distance_to_lower_band,turnover_rank)","min(distance_to_lower_band,turnover_rank)",cba5a704a16e2d23,BB_CONDITIONAL,NA,NA,PROPOSED
145,TEMPLATE,"max(distance_to_lower_band,turnover_rank)","max(distance_to_lower_band,turnover_rank)",7983db15b800c0b0,BB_CONDITIONAL,NA,NA,PROPOSED
146,TEMPLATE,"ratio(distance_to_lower_band,daily_bb_signal_count)","ratio(distance_to_lower_band,daily_bb_signal_count)",034b43efb401fd99,BB_CONDITIONAL,NA,NA,PROPOSED
147,TEMPLATE,"diff(distance_to_lower_band,daily_bb_signal_count)","diff(distance_to_lower_band,daily_bb_signal_count)",f062c3af0e28ffe2,BB_CONDITIONAL,NA,NA,PROPOSED
148,TEMPLATE,"interaction(distance_to_lower_band,daily_bb_signal_count)","interaction(daily_bb_signal_count,distance_to_lower_band)",9d6455af0ed6c78d,BB_CONDITIONAL,NA,NA,PROPOSED
149,TEMPLATE,"min(distance_to_lower_band,daily_bb_signal_count)","min(daily_bb_signal_count,distance_to_lower_band)",d5b7cfb0437f7467,BB_CONDITIONAL,NA,NA,PROPOSED
150,TEMPLATE,"max(distance_to_lower_band,daily_bb_signal_count)","max(daily_bb_signal_count,distance_to_lower_band)",3afefc6d7d4b91d5,BB_CONDITIONAL,NA,NA,PROPOSED
151,TEMPLATE,"ratio(distance_to_lower_band,market_up_ratio)","ratio(distance_to_lower_band,market_up_ratio)",e1c3deb09351c99f,BB_CONDITIONAL,NA,NA,PROPOSED
152,TEMPLATE,"diff(distance_to_lower_band,market_up_ratio)","diff(distance_to_lower_band,market_up_ratio)",03091a3e4f5c1195,BB_CONDITIONAL,NA,NA,PROPOSED
153,TEMPLATE,"interaction(distance_to_lower_band,market_up_ratio)","interaction(distance_to_lower_band,market_up_ratio)",dd147769c5ba1d35,BB_CONDITIONAL,NA,NA,PROPOSED
154,TEMPLATE,"min(distance_to_lower_band,market_up_ratio)","min(distance_to_lower_band,market_up_ratio)",2cfbfd3bc1362c41,BB_CONDITIONAL,NA,NA,PROPOSED
155,TEMPLATE,"max(distance_to_lower_band,market_up_ratio)","max(distance_to_lower_band,market_up_ratio)",c36e67edd6748d05,BB_CONDITIONAL,NA,NA,PROPOSED
156,TEMPLATE,"ratio(distance_to_lower_band,csi300_ret_5)","ratio(distance_to_lower_band,csi300_ret_5)",a5a327c8867cb4dc,BB_CONDITIONAL,NA,NA,PROPOSED
157,TEMPLATE,"diff(distance_to_lower_band,csi300_ret_5)","diff(distance_to_lower_band,csi300_ret_5)",6fa37ddb179a1da0,BB_CONDITIONAL,NA,NA,PROPOSED
158,TEMPLATE,"interaction(distance_to_lower_band,csi300_ret_5)","interaction(csi300_ret_5,distance_to_lower_band)",cbe9e3cbf6d00582,BB_CONDITIONAL,NA,NA,PROPOSED
